Date,Home Team,Away Team,Home Score,Away Score,Venue
Thu 18-Mar-2021,Richmond,Carlton,105,80,M.C.G.
Fri 19-Mar-2021,Collingwood,Western Bulldogs,53,69,M.C.G.
Sat 20-Mar-2021,Melbourne,Fremantle,80,58,M.C.G.
Sat 20-Mar-2021,Adelaide,Geelong,103,91,Adelaide Oval
Sat 20-Mar-2021,Essendon,Hawthorn,91,92,Docklands
Sat 20-Mar-2021,Brisbane Lions,Sydney,94,125,Gabba
Sun 21-Mar-2021,North Melbourne,Port Adelaide,65,117,Docklands
Sun 21-Mar-2021,Greater Western Sydney,St Kilda,78,86,Sydney Showground
Sun 21-Mar-2021,West Coast,Gold Coast,83,58,Perth Stadium
Thu 25-Mar-2021,Carlton,Collingwood,85,106,M.C.G.
Fri 26-Mar-2021,Geelong,Brisbane Lions,81,80,Kardinia Park
Sat 27-Mar-2021,Sydney,Adelaide,121,88,S.C.G.
Sat 27-Mar-2021,Port Adelaide,Essendon,119,65,Adelaide Oval
Sat 27-Mar-2021,St Kilda,Melbourne,73,91,Docklands
Sat 27-Mar-2021,Gold Coast,North Melbourne,98,39,Carrara
Sun 28-Mar-2021,Hawthorn,Richmond,49,78,M.C.G.
Sun 28-Mar-2021,Western Bulldogs,West Coast,100,93,Docklands
Sun 28-Mar-2021,Fremantle,Greater Western Sydney,87,56,Perth Stadium
Thu 01-Apr-2021,Collingwood,Brisbane Lions,72,73,Docklands
Fri 02-Apr-2021,North Melbourne,Western Bulldogs,39,167,Docklands
Fri 02-Apr-2021,Adelaide,Gold Coast,95,85,Adelaide Oval
Sat 03-Apr-2021,Richmond,Sydney,72,117,M.C.G.
Sat 03-Apr-2021,Essendon,St Kilda,143,68,Docklands
Sat 03-Apr-2021,West Coast,Port Adelaide,108,71,Perth Stadium
Sun 04-Apr-2021,Carlton,Fremantle,109,64,Docklands
Sun 04-Apr-2021,Greater Western Sydney,Melbourne,68,102,Manuka Oval
Mon 05-Apr-2021,Geelong,Hawthorn,69,64,M.C.G.
Thu 08-Apr-2021,Sydney,Essendon,83,80,S.C.G.
Fri 09-Apr-2021,Port Adelaide,Richmond,79,77,Adelaide Oval
Sat 10-Apr-2021,Western Bulldogs,Brisbane Lions,73,54,Eureka Stadium
Sat 10-Apr-2021,St Kilda,West Coast,102,82,Docklands
Sat 10-Apr-2021,Gold Coast,Carlton,59,70,Carrara
Sat 10-Apr-2021,Collingwood,Greater Western Sydney,60,90,M.C.G.
Sun 11-Apr-2021,North Melbourne,Adelaide,68,109,Docklands
Sun 11-Apr-2021,Melbourne,Geelong,85,60,M.C.G.
Sun 11-Apr-2021,Fremantle,Hawthorn,96,81,Perth Stadium
Thu 15-Apr-2021,St Kilda,Richmond,48,134,Docklands
Fri 16-Apr-2021,West Coast,Collingwood,103,76,Perth Stadium
Sat 17-Apr-2021,Western Bulldogs,Gold Coast,118,56,Docklands
Sat 17-Apr-2021,Sydney,Greater Western Sydney,69,71,S.C.G.
Sat 17-Apr-2021,Carlton,Port Adelaide,68,96,M.C.G.
Sat 17-Apr-2021,Brisbane Lions,Essendon,102,45,Gabba
Sun 18-Apr-2021,Adelaide,Fremantle,72,84,Adelaide Oval
Sun 18-Apr-2021,Hawthorn,Melbourne,54,104,M.C.G.
Sun 18-Apr-2021,Geelong,North Melbourne,77,47,Kardinia Park
Fri 23-Apr-2021,Greater Western Sydney,Western Bulldogs,65,104,Manuka Oval
Sat 24-Apr-2021,Geelong,West Coast,136,39,Kardinia Park
Sat 24-Apr-2021,Gold Coast,Sydney,100,60,Carrara
Sat 24-Apr-2021,Carlton,Brisbane Lions,85,103,Docklands
Sat 24-Apr-2021,Melbourne,Richmond,82,48,M.C.G.
Sat 24-Apr-2021,Fremantle,North Melbourne,99,48,Perth Stadium
Sun 25-Apr-2021,Hawthorn,Adelaide,102,99,York Park
Sun 25-Apr-2021,Collingwood,Essendon,85,109,M.C.G.
Sun 25-Apr-2021,Port Adelaide,St Kilda,93,39,Adelaide Oval
Fri 30-Apr-2021,Richmond,Western Bulldogs,77,55,M.C.G.
Sat 01-May-2021,Collingwood,Gold Coast,55,79,M.C.G.
Sat 01-May-2021,Adelaide,Greater Western Sydney,39,106,Adelaide Oval
Sat 01-May-2021,St Kilda,Hawthorn,128,59,Docklands
Sat 01-May-2021,Sydney,Geelong,90,88,S.C.G.
Sat 01-May-2021,Brisbane Lions,Port Adelaide,93,44,Gabba
Sun 02-May-2021,North Melbourne,Melbourne,73,103,Bellerive Oval
Sun 02-May-2021,Essendon,Carlton,107,123,M.C.G.
Sun 02-May-2021,West Coast,Fremantle,132,73,Perth Stadium
Fri 07-May-2021,Richmond,Geelong,63,126,M.C.G.
Sat 08-May-2021,Gold Coast,St Kilda,54,63,Carrara
Sat 08-May-2021,Greater Western Sydney,Essendon,107,105,Sydney Showground
Sat 08-May-2021,North Melbourne,Collingwood,76,94,Docklands
Sat 08-May-2021,Melbourne,Sydney,67,58,M.C.G.
Sat 08-May-2021,Port Adelaide,Adelaide,87,38,Adelaide Oval
Sun 09-May-2021,Hawthorn,West Coast,60,98,M.C.G.
Sun 09-May-2021,Western Bulldogs,Carlton,107,91,Docklands
Sun 09-May-2021,Brisbane Lions,Fremantle,95,71,Gabba
Fri 14-May-2021,St Kilda,Geelong,47,68,Docklands
Sat 15-May-2021,Sydney,Collingwood,72,42,S.C.G.
Sat 15-May-2021,Hawthorn,North Melbourne,80,87,York Park
Sat 15-May-2021,Gold Coast,Brisbane Lions,51,124,Carrara
Sat 15-May-2021,Richmond,Greater Western Sydney,87,83,Docklands
Sat 15-May-2021,Port Adelaide,Western Bulldogs,77,96,Adelaide Oval
Sun 16-May-2021,Essendon,Fremantle,68,61,Docklands
Sun 16-May-2021,Melbourne,Carlton,94,68,M.C.G.
Sun 16-May-2021,West Coast,Adelaide,106,76,Perth Stadium
Fri 21-May-2021,Brisbane Lions,Richmond,102,74,Gabba
Sat 22-May-2021,Carlton,Hawthorn,86,63,M.C.G.
Sat 22-May-2021,Geelong,Gold Coast,91,57,Kardinia Park
Sat 22-May-2021,Adelaide,Melbourne,96,95,Adelaide Oval
Sat 22-May-2021,Western Bulldogs,St Kilda,144,33,Docklands
Sat 22-May-2021,Fremantle,Sydney,86,84,Perth Stadium
Sun 23-May-2021,Greater Western Sydney,West Coast,93,77,Sydney Showground
Sun 23-May-2021,Collingwood,Port Adelaide,58,59,M.C.G.
Sun 23-May-2021,Essendon,North Melbourne,141,69,Docklands
Fri 28-May-2021,Western Bulldogs,Melbourne,59,87,Docklands
Sat 29-May-2021,Collingwood,Geelong,51,61,M.C.G.
Sat 29-May-2021,Brisbane Lions,Greater Western Sydney,129,65,Gabba
Sat 29-May-2021,St Kilda,North Melbourne,88,68,Docklands
Sat 29-May-2021,West Coast,Essendon,71,87,Perth Stadium
Sat 29-May-2021,Gold Coast,Hawthorn,113,76,S.C.G.
Sun 30-May-2021,Richmond,Adelaide,111,83,Sydney Showground
Sun 30-May-2021,Sydney,Carlton,100,78,S.C.G.
Sun 30-May-2021,Port Adelaide,Fremantle,115,69,Adelaide Oval
Fri 04-Jun-2021,Melbourne,Brisbane Lions,97,75,Sydney Showground
Sat 05-Jun-2021,Sydney,St Kilda,92,83,S.C.G.
Sat 05-Jun-2021,Adelaide,Collingwood,73,78,Adelaide Oval
Sat 05-Jun-2021,Essendon,Richmond,84,123,Perth Stadium
Sun 06-Jun-2021,Carlton,West Coast,73,95,S.C.G.
Sun 06-Jun-2021,Fremantle,Western Bulldogs,65,93,Perth Stadium
Thu 10-Jun-2021,Port Adelaide,Geelong,91,112,Adelaide Oval
Fri 11-Jun-2021,Sydney,Hawthorn,51,89,S.C.G.
Sat 12-Jun-2021,Fremantle,Gold Coast,76,49,Perth Stadium
Sat 12-Jun-2021,St Kilda,Adelaide,60,66,Cazaly's Stadium
Sun 13-Jun-2021,North Melbourne,Greater Western Sydney,94,94,Bellerive Oval
Sun 13-Jun-2021,West Coast,Richmond,85,81,Perth Stadium
Mon 14-Jun-2021,Melbourne,Collingwood,63,80,S.C.G.
Fri 18-Jun-2021,Geelong,Western Bulldogs,83,78,Kardinia Park
Sat 19-Jun-2021,Gold Coast,Port Adelaide,31,81,Carrara
Sat 19-Jun-2021,North Melbourne,Brisbane Lions,45,68,Bellerive Oval
Sat 19-Jun-2021,Greater Western Sydney,Carlton,102,66,Sydney Showground
Sun 20-Jun-2021,Hawthorn,Essendon,73,86,York Park
Thu 24-Jun-2021,Brisbane Lions,Geelong,94,50,Gabba
Fri 25-Jun-2021,Richmond,St Kilda,22,62,M.C.G.
