Date,Home Team,Away Team,Home Score,Away Score,Venue
Sat 06-May-2017,Gold Coast,Geelong,124,99,Carrara
Sun 07-May-2017,Sydney,Brisbane Lions,135,81,S.C.G.
Sun 07-May-2017,Melbourne,Hawthorn,91,94,M.C.G.
Sun 07-May-2017,Fremantle,Essendon,116,79,Subiaco
Fri 12-May-2017,West Coast,Western Bulldogs,69,61,Subiaco
Sat 13-May-2017,Hawthorn,Brisbane Lions,113,75,York Park
Sat 13-May-2017,St Kilda,Carlton,85,66,Docklands
Sat 13-May-2017,Greater Western Sydney,Collingwood,102,99,Sydney Showground
Sat 13-May-2017,Essendon,Geelong,110,93,M.C.G.
Sat 13-May-2017,Adelaide,Melbourne,66,107,Adelaide Oval
Sun 14-May-2017,Richmond,Fremantle,70,72,M.C.G.
Sun 14-May-2017,Gold Coast,Port Adelaide,38,110,Jiangwan Stadium
Sun 14-May-2017,North Melbourne,Sydney,78,120,Docklands
Fri 19-May-2017,Geelong,Western Bulldogs,104,81,Kardinia Park
Sat 20-May-2017,St Kilda,Sydney,68,118,Docklands
Sat 20-May-2017,Greater Western Sydney,Richmond,78,75,Sydney Showground
Sat 20-May-2017,Brisbane Lions,Adelaide,60,140,Gabba
Sat 20-May-2017,Collingwood,Hawthorn,90,72,M.C.G.
Sun 21-May-2017,Essendon,West Coast,125,64,Docklands
Sun 21-May-2017,Melbourne,North Melbourne,90,104,M.C.G.
Sun 21-May-2017,Fremantle,Carlton,86,51,Subiaco
Thu 25-May-2017,Geelong,Port Adelaide,81,79,Kardinia Park
Fri 26-May-2017,Sydney,Hawthorn,75,81,S.C.G.
Sat 27-May-2017,Western Bulldogs,St Kilda,90,50,Docklands
Sat 27-May-2017,Melbourne,Gold Coast,122,87,Traeger Park
Sat 27-May-2017,Richmond,Essendon,81,66,M.C.G.
Sat 27-May-2017,Adelaide,Fremantle,143,43,Adelaide Oval
Sun 28-May-2017,Collingwood,Brisbane Lions,129,84,M.C.G.
Sun 28-May-2017,Carlton,North Melbourne,96,113,Docklands
Sun 28-May-2017,West Coast,Greater Western Sydney,90,98,Subiaco
Thu 01-Jun-2017,Port Adelaide,Hawthorn,98,47,Adelaide Oval
Fri 02-Jun-2017,Geelong,Adelaide,96,74,Kardinia Park
Sat 03-Jun-2017,Gold Coast,West Coast,80,77,Carrara
Sat 03-Jun-2017,Greater Western Sydney,Essendon,117,101,Sydney Showground
Sat 03-Jun-2017,North Melbourne,Richmond,66,101,Docklands
Sun 04-Jun-2017,Fremantle,Collingwood,85,105,Subiaco
Thu 08-Jun-2017,Sydney,Western Bulldogs,88,42,S.C.G.
Fri 09-Jun-2017,Adelaide,St Kilda,111,54,Adelaide Oval
Sat 10-Jun-2017,Hawthorn,Gold Coast,79,95,M.C.G.
Sat 10-Jun-2017,Brisbane Lions,Fremantle,121,64,Gabba
Sat 10-Jun-2017,Essendon,Port Adelaide,131,61,Docklands
Sun 11-Jun-2017,Carlton,Greater Western Sydney,71,70,Docklands
Mon 12-Jun-2017,Melbourne,Collingwood,104,100,M.C.G.
Thu 15-Jun-2017,West Coast,Geelong,83,70,Subiaco
Fri 16-Jun-2017,North Melbourne,St Kilda,72,89,Docklands
Sat 17-Jun-2017,Richmond,Sydney,71,80,M.C.G.
Sat 17-Jun-2017,Port Adelaide,Brisbane Lions,121,81,Adelaide Oval
Sat 17-Jun-2017,Gold Coast,Carlton,73,83,Carrara
Sun 18-Jun-2017,Western Bulldogs,Melbourne,56,113,Docklands
Thu 22-Jun-2017,Adelaide,Hawthorn,82,96,Adelaide Oval
Fri 23-Jun-2017,Sydney,Essendon,86,85,S.C.G.
Sat 24-Jun-2017,Collingwood,Port Adelaide,62,93,M.C.G.
Sat 24-Jun-2017,Brisbane Lions,Greater Western Sydney,86,146,Gabba
Sat 24-Jun-2017,Western Bulldogs,North Melbourne,107,106,Docklands
Sat 24-Jun-2017,West Coast,Melbourne,96,99,Subiaco
Sun 25-Jun-2017,Geelong,Fremantle,74,72,Kardinia Park
Sun 25-Jun-2017,Richmond,Carlton,84,58,M.C.G.
Sun 25-Jun-2017,St Kilda,Gold Coast,103,72,Docklands
Fri 30-Jun-2017,Melbourne,Sydney,50,85,M.C.G.
Sat 01-Jul-2017,Western Bulldogs,West Coast,80,87,Docklands
Sat 01-Jul-2017,Carlton,Adelaide,77,89,M.C.G.
Sat 01-Jul-2017,Gold Coast,North Melbourne,118,99,Carrara
Sat 01-Jul-2017,Greater Western Sydney,Geelong,68,68,Sydney Showground
Sat 01-Jul-2017,Port Adelaide,Richmond,63,76,Adelaide Oval
Sun 02-Jul-2017,Essendon,Brisbane Lions,82,90,Docklands
Sun 02-Jul-2017,Hawthorn,Collingwood,118,94,M.C.G.
Sun 02-Jul-2017,Fremantle,St Kilda,80,89,Subiaco
Fri 07-Jul-2017,Adelaide,Western Bulldogs,104,45,Adelaide Oval
Sat 08-Jul-2017,Hawthorn,Greater Western Sydney,97,97,York Park
Sat 08-Jul-2017,Collingwood,Essendon,80,117,M.C.G.
Sat 08-Jul-2017,Sydney,Gold Coast,118,51,S.C.G.
Sat 08-Jul-2017,Brisbane Lions,Geelong,78,163,Gabba
Sat 08-Jul-2017,St Kilda,Richmond,138,71,Docklands
Sun 09-Jul-2017,North Melbourne,Fremantle,82,86,Docklands
Sun 09-Jul-2017,Carlton,Melbourne,82,90,M.C.G.
Sun 09-Jul-2017,West Coast,Port Adelaide,88,120,Subiaco
Fri 14-Jul-2017,St Kilda,Essendon,57,118,Docklands
Sat 15-Jul-2017,Geelong,Hawthorn,88,85,M.C.G.
Sat 15-Jul-2017,Port Adelaide,North Melbourne,127,57,Adelaide Oval
Sat 15-Jul-2017,Gold Coast,Collingwood,88,103,Carrara
Sat 15-Jul-2017,Greater Western Sydney,Sydney,83,96,Sydney Showground
Sat 15-Jul-2017,Melbourne,Adelaide,70,116,Marrara Oval
Sun 16-Jul-2017,Richmond,Brisbane Lions,112,81,Docklands
Sun 16-Jul-2017,Carlton,Western Bulldogs,62,82,M.C.G.
Sun 16-Jul-2017,Fremantle,West Coast,44,74,Subiaco
Fri 21-Jul-2017,Adelaide,Geelong,91,70,Adelaide Oval
Sat 22-Jul-2017,Essendon,North Melbourne,132,105,Docklands
Sat 22-Jul-2017,Melbourne,Port Adelaide,88,65,M.C.G.
Sat 22-Jul-2017,Western Bulldogs,Gold Coast,110,56,Cazaly's Stadium
Sat 22-Jul-2017,Sydney,St Kilda,101,59,S.C.G.
Sat 22-Jul-2017,Fremantle,Hawthorn,48,100,Subiaco
Sun 23-Jul-2017,Richmond,Greater Western Sydney,64,45,M.C.G.
Sun 23-Jul-2017,Collingwood,West Coast,93,85,Docklands
Sun 23-Jul-2017,Brisbane Lions,Carlton,112,82,Gabba
Fri 28-Jul-2017,Hawthorn,Sydney,72,66,M.C.G.
Sat 29-Jul-2017,North Melbourne,Melbourne,76,72,Bellerive Oval
Sat 29-Jul-2017,Greater Western Sydney,Fremantle,98,86,Sydney Showground
Sat 29-Jul-2017,Port Adelaide,St Kilda,63,61,Adelaide Oval
Sat 29-Jul-2017,Carlton,Geelong,58,123,Docklands
Sat 29-Jul-2017,Gold Coast,Richmond,65,98,Carrara
Sun 30-Jul-2017,Western Bulldogs,Essendon,127,97,Docklands
Sun 30-Jul-2017,Collingwood,Adelaide,103,103,M.C.G.
Sun 30-Jul-2017,West Coast,Brisbane Lions,113,45,Subiaco
Fri 04-Aug-2017,Geelong,Sydney,61,107,Kardinia Park
Sat 05-Aug-2017,Greater Western Sydney,Melbourne,97,62,Manuka Oval
Sat 05-Aug-2017,Essendon,Carlton,84,76,M.C.G.
Sat 05-Aug-2017,Brisbane Lions,Western Bulldogs,89,103,Gabba
Sat 05-Aug-2017,North Melbourne,Collingwood,57,111,Docklands
Sat 05-Aug-2017,Fremantle,Gold Coast,90,67,Subiaco
Sun 06-Aug-2017,St Kilda,West Coast,103,95,Docklands
Sun 06-Aug-2017,Richmond,Hawthorn,93,64,M.C.G.
Sun 06-Aug-2017,Adelaide,Port Adelaide,130,46,Adelaide Oval
Fri 11-Aug-2017,Western Bulldogs,Greater Western Sydney,57,105,Docklands
Sat 12-Aug-2017,Sydney,Fremantle,143,39,S.C.G.
Sat 12-Aug-2017,Geelong,Richmond,80,66,Kardinia Park
Sat 12-Aug-2017,Brisbane Lions,Gold Coast,142,84,Gabba
Sat 12-Aug-2017,Essendon,Adelaide,80,123,Docklands
Sat 12-Aug-2017,West Coast,Carlton,100,83,Subiaco
Sun 13-Aug-2017,Melbourne,St Kilda,96,72,M.C.G.
Sun 13-Aug-2017,Hawthorn,North Melbourne,116,89,York Park
Sun 13-Aug-2017,Port Adelaide,Collingwood,98,71,Adelaide Oval
Fri 18-Aug-2017,Adelaide,Sydney,80,83,Adelaide Oval
Sat 19-Aug-2017,Western Bulldogs,Port Adelaide,79,96,Eureka Stadium
Sat 19-Aug-2017,Collingwood,Geelong,59,70,M.C.G.
Sat 19-Aug-2017,Greater Western Sydney,West Coast,81,60,Sydney Showground
Sat 19-Aug-2017,Carlton,Hawthorn,77,70,Docklands
Sat 19-Aug-2017,Gold Coast,Essendon,57,90,Carrara
Sun 20-Aug-2017,Melbourne,Brisbane Lions,104,91,M.C.G.
Sun 20-Aug-2017,St Kilda,North Melbourne,127,78,Docklands
Sun 20-Aug-2017,Fremantle,Richmond,51,155,Subiaco
Fri 25-Aug-2017,Hawthorn,Western Bulldogs,99,90,Docklands
Sat 26-Aug-2017,Collingwood,Melbourne,99,83,M.C.G.
Sat 26-Aug-2017,Brisbane Lions,North Melbourne,79,130,Gabba
Sat 26-Aug-2017,Sydney,Carlton,138,57,S.C.G.
Sat 26-Aug-2017,Geelong,Greater Western Sydney,103,59,Kardinia Park
Sat 26-Aug-2017,Port Adelaide,Gold Coast,135,20,Adelaide Oval
Sun 27-Aug-2017,Essendon,Fremantle,107,92,Docklands
Sun 27-Aug-2017,Richmond,St Kilda,122,81,M.C.G.
Sun 27-Aug-2017,West Coast,Adelaide,100,71,Subiaco
Thu 07-Sep-2017,Adelaide,Greater Western Sydney,84,48,Adelaide Oval
Fri 08-Sep-2017,Geelong,Richmond,40,91,M.C.G.
Sat 09-Sep-2017,Sydney,Essendon,121,56,S.C.G.
Sat 09-Sep-2017,Port Adelaide,West Coast,76,78,Adelaide Oval
Fri 15-Sep-2017,Geelong,Sydney,98,39,M.C.G.
Sat 16-Sep-2017,Greater Western Sydney,West Coast,125,58,Sydney Showground
Fri 22-Sep-2017,Adelaide,Geelong,136,75,Adelaide Oval
Sat 23-Sep-2017,Richmond,Greater Western Sydney,103,67,M.C.G.
Sat 30-Sep-2017,Adelaide,Richmond,60,108,M.C.G.
