Date,Home Team,Away Team,Home Score,Away Score,Venue
Thu 23-Mar-2017,Carlton,Richmond,89,132,M.C.G.
Fri 24-Mar-2017,Collingwood,Western Bulldogs,86,100,M.C.G.
Sat 25-Mar-2017,St Kilda,Melbourne,90,120,Docklands
Sat 25-Mar-2017,Sydney,Port Adelaide,82,110,S.C.G.
Sat 25-Mar-2017,Essendon,Hawthorn,116,91,M.C.G.
Sat 25-Mar-2017,Gold Coast,Brisbane Lions,96,98,Carrara
Sun 26-Mar-2017,North Melbourne,West Coast,93,136,Docklands
Sun 26-Mar-2017,Adelaide,Greater Western Sydney,147,91,Adelaide Oval
Sun 26-Mar-2017,Fremantle,Geelong,73,115,Subiaco
Thu 30-Mar-2017,Richmond,Collingwood,99,80,M.C.G.
Fri 31-Mar-2017,Western Bulldogs,Sydney,110,87,Docklands
Sat 01-Apr-2017,Hawthorn,Adelaide,89,113,M.C.G.
Sat 01-Apr-2017,Greater Western Sydney,Gold Coast,160,58,Sydney Showground
Sat 01-Apr-2017,Brisbane Lions,Essendon,84,111,Gabba
Sat 01-Apr-2017,West Coast,St Kilda,116,97,Subiaco
Sun 02-Apr-2017,Geelong,North Melbourne,112,111,Docklands
Sun 02-Apr-2017,Melbourne,Carlton,86,64,M.C.G.
Sun 02-Apr-2017,Port Adelaide,Fremantle,145,56,Adelaide Oval
Fri 07-Apr-2017,Sydney,Collingwood,79,80,S.C.G.
Sat 08-Apr-2017,North Melbourne,Greater Western Sydney,67,109,Bellerive Oval
Sat 08-Apr-2017,Richmond,West Coast,76,65,M.C.G.
Sat 08-Apr-2017,Geelong,Melbourne,126,97,Docklands
Sat 08-Apr-2017,Fremantle,Western Bulldogs,89,73,Subiaco
Sat 08-Apr-2017,Port Adelaide,Adelaide,83,100,Adelaide Oval
Sun 09-Apr-2017,St Kilda,Brisbane Lions,107,76,Docklands
Sun 09-Apr-2017,Carlton,Essendon,57,42,M.C.G.
Sun 09-Apr-2017,Gold Coast,Hawthorn,139,53,Carrara
Thu 13-Apr-2017,West Coast,Sydney,91,65,Subiaco
Fri 14-Apr-2017,North Melbourne,Western Bulldogs,86,89,Docklands
Sat 15-Apr-2017,Melbourne,Fremantle,104,106,M.C.G.
Sat 15-Apr-2017,Greater Western Sydney,Port Adelaide,112,81,Manuka Oval
Sat 15-Apr-2017,Carlton,Gold Coast,82,108,Docklands
Sat 15-Apr-2017,Adelaide,Essendon,153,88,Adelaide Oval
Sun 16-Apr-2017,Collingwood,St Kilda,55,69,Docklands
Sun 16-Apr-2017,Brisbane Lions,Richmond,67,119,Gabba
Mon 17-Apr-2017,Hawthorn,Geelong,48,134,M.C.G.
Fri 21-Apr-2017,Port Adelaide,Carlton,137,47,Adelaide Oval
Sat 22-Apr-2017,Western Bulldogs,Brisbane Lions,122,90,Docklands
Sat 22-Apr-2017,Gold Coast,Adelaide,86,153,Carrara
Sat 22-Apr-2017,Sydney,Greater Western Sydney,63,105,S.C.G.
Sat 22-Apr-2017,Fremantle,North Melbourne,67,62,Subiaco
Sun 23-Apr-2017,St Kilda,Geelong,88,126,Docklands
Sun 23-Apr-2017,Hawthorn,West Coast,125,75,M.C.G.
Mon 24-Apr-2017,Richmond,Melbourne,88,75,M.C.G.
Tue 25-Apr-2017,Essendon,Collingwood,100,82,M.C.G.
Fri 28-Apr-2017,Greater Western Sydney,Western Bulldogs,75,73,Manuka Oval
Sat 29-Apr-2017,Hawthorn,St Kilda,55,130,York Park
Sat 29-Apr-2017,Carlton,Sydney,97,78,M.C.G.
Sat 29-Apr-2017,Brisbane Lions,Port Adelaide,67,150,Gabba
Sat 29-Apr-2017,North Melbourne,Gold Coast,107,94,Docklands
Sat 29-Apr-2017,West Coast,Fremantle,103,62,Subiaco
Sun 30-Apr-2017,Essendon,Melbourne,74,112,Docklands
Sun 30-Apr-2017,Geelong,Collingwood,78,107,M.C.G.
Sun 30-Apr-2017,Adelaide,Richmond,140,64,Adelaide Oval
Fri 05-May-2017,St Kilda,Greater Western Sydney,108,85,Docklands
Sat 06-May-2017,North Melbourne,Adelaide,145,86,Bellerive Oval
Sat 06-May-2017,Collingwood,Carlton,56,79,M.C.G.
Sat 06-May-2017,Port Adelaide,West Coast,87,97,Adelaide Oval
Sat 06-May-2017,Western Bulldogs,Richmond,80,75,Docklands
