team,year,jumper_number,player_name,games,kicks,marks,handballs,disposals,disposal_avg,goals,behinds,hitouts,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assists
Adelaide,2020,5,"Crouch, Matt",16,163,44,256,419,26.19,2,3,0,74,29,35,68,41,19,14,3,155,262,0,1,11,1,1
Adelaide,2020,29,"Laird, Rory",17,186,46,203,389,22.88,3,1,0,70,54,47,52,56,19,20,4,151,247,1,1,17,1,4
Adelaide,2020,33,"Smith, Brodie",16,203,58,72,275,17.19,5,6,0,38,60,48,16,40,7,10,1,68,177,2,2,22,3,3
Adelaide,2020,28,"Keays, Ben",16,147,47,118,265,16.56,3,5,0,53,25,40,47,35,9,14,1,109,155,1,1,14,0,3
Adelaide,2020,2,"Crouch, Brad",12,136,20,127,263,21.92,2,1,0,44,15,36,59,49,15,14,1,121,136,0,1,5,0,2
Adelaide,2020,43,"OBrien, Reilly",17,107,64,125,232,13.65,0,3,462,68,18,28,28,46,19,16,4,127,102,33,1,39,0,3
Adelaide,2020,27,"Lynch, Tom",13,144,53,78,222,17.08,6,5,0,13,17,29,13,31,7,6,0,65,150,2,5,9,1,5
Adelaide,2020,16,"Brown, Luke",17,141,46,56,197,11.59,0,1,0,35,67,15,7,24,13,9,0,61,96,2,0,37,1,2
Adelaide,2020,9,"Sloane, Rory",12,92,15,97,189,15.75,5,3,0,49,10,35,42,27,16,11,3,100,85,1,1,24,2,5
Adelaide,2020,14,"Mackay, David",10,73,25,82,155,15.5,2,2,0,16,22,20,5,19,3,7,0,44,102,2,3,18,4,0
Adelaide,2020,11,"Seedsman, Paul",9,79,24,65,144,16.0,4,5,0,28,17,22,12,20,7,5,0,39,103,2,1,7,10,0
Adelaide,2020,39,"Doedee, Tom",9,75,47,53,128,14.22,0,0,0,16,31,5,3,16,6,3,0,44,74,11,1,33,2,0
Adelaide,2020,8,"Kelly, Jake",15,85,44,39,124,8.27,0,0,0,37,28,9,1,26,10,11,0,46,74,7,0,56,0,0
