team,year,jumper_number,player_name,games,kicks,marks,handballs,disposals,disposal_avg,goals,behinds,hitouts,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assists
Adelaide,2017,44,"Crouch, Matt",25,345,76,480,825,33.0,7,7,0,119,53,83,144,79,18,19,11,336,493,1,2,31,4,16
Adelaide,2017,29,"Laird, Rory",25,367,143,369,736,29.44,3,1,0,55,116,60,27,65,29,15,9,214,518,8,2,41,0,3
Adelaide,2017,9,"Sloane, Rory",24,314,75,267,581,24.21,20,7,0,186,34,109,152,91,62,37,20,320,274,16,10,71,1,13
Adelaide,2017,2,"Crouch, Brad",20,237,56,324,561,28.05,8,10,0,137,34,83,119,71,25,14,3,253,290,1,3,16,3,13
Adelaide,2017,26,"Douglas, Richard",25,317,71,224,541,21.64,15,9,0,96,38,90,103,84,27,26,1,239,309,6,11,26,10,17
Adelaide,2017,21,"Atkins, Rory",25,307,118,229,536,21.44,11,8,0,61,54,97,47,81,13,22,10,165,377,8,7,35,24,17
Adelaide,2017,27,"Lynch, Tom",23,297,163,175,472,20.52,31,23,0,50,10,75,21,68,18,16,7,158,310,20,40,14,3,16
Adelaide,2017,33,"Smith, Brodie",23,289,107,180,469,20.39,12,9,0,46,76,84,21,65,6,17,1,116,335,9,5,61,21,6
Adelaide,2017,14,"Mackay, David",22,227,66,144,371,16.86,9,8,0,76,38,66,24,61,13,18,0,114,270,0,6,25,10,7
Adelaide,2017,24,"Jacobs, Sam",25,198,93,162,360,14.4,9,7,996,68,33,59,74,64,26,31,10,168,203,36,11,56,2,7
Adelaide,2017,8,"Kelly, Jake",24,182,104,174,356,14.83,0,0,0,66,28,16,7,40,12,19,0,109,243,5,0,58,0,2
Adelaide,2017,16,"Brown, Luke",24,221,91,132,353,14.71,3,0,0,46,69,36,10,35,17,12,0,113,223,8,1,61,5,4
Adelaide,2017,13,"Walker, Taylor",23,236,146,105,341,14.83,54,35,0,44,2,90,4,71,21,34,7,154,198,36,61,28,0,33
Adelaide,2017,23,"Cameron, Charlie",24,227,67,107,334,13.92,29,25,0,103,23,97,36,61,25,22,0,151,193,12,29,12,48,17
Adelaide,2017,6,"Lever, Jake",20,208,125,112,320,16.0,1,1,1,35,70,32,3,48,30,19,1,134,193,22,0,122,5,2
Adelaide,2017,18,"Betts, Eddie",24,210,78,108,318,13.25,55,34,0,80,2,53,31,61,19,28,5,169,148,14,49,29,3,29
