team,year,total_disposals,total_goals,total_behinds,total_tackles,total_clearances,total_inside_50s,total_marks,total_contested_marks,total_hitouts,avg_disposal_per_player,avg_goals_per_player,avg_tackles_per_player,players_20plus_goals,players_30plus_goals,players_40plus_goals,players_300plus_disposals,players_400plus_disposals,players_500plus_disposals,players_100plus_tackles,total_players_used,players_with_10plus_games,players_with_15plus_games,players_with_20plus_games,total_brownlow_votes,players_with_brownlow_votes,top_brownlow_vote_getter,goal_accuracy,total_contested_poss,total_uncontested_poss,contested_poss_ratio,total_clangers,free_kick_differential
Adelaide,2025,8737,357,208,1601,956,1335,2218,275,1159,236.13513513513513,9.64864864864865,43.270270270270274,6,5,2,15,9,4,3,37,25,20,18,93,15,27,63.1858407079646,3438,5054,39.34989126702529,1546,28
Brisbane Lions,2025,10033,355,273,1560,1106,1533,2819,222,1090,278.69444444444446,9.86111111111111,43.333333333333336,7,4,2,14,11,9,2,36,27,21,18,98,14,21,56.52866242038217,3580,6251,35.682248579687034,1486,39
Carlton,2025,8232,259,198,1452,903,1231,2072,243,798,211.07692307692307,6.641025641025641,37.23076923076923,3,1,0,11,4,2,2,39,25,18,10,60,9,19,56.67396061269147,3167,4937,38.47181729834791,1328,45
Collingwood,2025,8752,308,236,1635,900,1328,2201,237,910,250.05714285714285,8.8,46.714285714285715,4,3,1,13,7,3,2,35,27,22,16,83,13,32,56.61764705882353,3180,5331,36.3345521023766,1442,-6
Essendon,2025,8472,220,164,1322,784,1074,2013,196,866,192.54545454545453,5.0,30.045454545454547,2,0,0,8,6,3,0,44,27,15,8,40,8,14,57.291666666666664,2894,5343,34.15958451369217,1342,52
Fremantle,2025,8176,300,200,1456,924,1261,1842,235,983,240.47058823529412,8.823529411764707,42.8235294117647,7,4,1,9,5,3,2,34,26,22,15,88,11,26,60.0,3182,4868,38.91878669275929,1304,-32
Geelong,2025,9145,400,264,1685,985,1463,2563,285,1013,295.0,12.903225806451612,54.354838709677416,6,6,2,16,8,4,3,31,25,23,21,99,13,29,60.24096385542169,3466,5470,37.900492072170586,1435,48
Gold Coast,2025,8800,334,232,1534,989,1408,1945,239,1204,237.83783783783784,9.027027027027026,41.45945945945946,4,2,2,14,8,4,2,37,23,22,17,95,11,39,59.01060070671378,3362,5285,38.20454545454545,1404,11
Greater Western Sydney,2025,8708,325,202,1442,884,1239,2194,242,860,241.88888888888889,9.027777777777779,40.05555555555556,6,3,3,10,6,4,1,36,28,21,15,82,11,21,61.66982922201139,3134,5314,35.989894350022965,1424,-61
Hawthorn,2025,9537,343,228,1635,967,1374,2215,257,1138,272.48571428571427,9.8,46.714285714285715,6,3,2,15,11,4,4,35,24,22,20,80,16,17,60.07005253940455,3498,5802,36.67820069204152,1490,42
Melbourne,2025,8396,271,230,1315,846,1214,2171,241,945,233.22222222222223,7.527777777777778,36.52777777777778,4,3,1,11,7,4,2,36,25,23,12,65,7,23,54.091816367265466,3109,5173,37.02953787517866,1308,32
North Melbourne,2025,8230,267,162,1374,930,1060,1928,199,837,211.02564102564102,6.846153846153846,35.23076923076923,4,3,1,10,7,6,2,39,25,20,14,45,9,11,62.23776223776224,2967,5076,36.05103280680437,1309,-61
Port Adelaide,2025,7948,244,204,1385,870,1126,1908,173,963,198.7,6.1,34.625,2,1,1,10,5,3,2,40,25,20,12,60,9,21,54.46428571428571,2860,4771,35.98389531957725,1399,-51
Richmond,2025,7790,204,179,1195,764,1015,2024,215,851,194.75,5.1,29.875,2,0,0,10,5,2,1,40,26,19,13,33,5,20,53.26370757180157,2798,4803,35.91784338896021,1259,-28
St Kilda,2025,8255,268,190,1431,868,1109,2149,178,748,211.66666666666666,6.871794871794871,36.69230769230769,5,2,1,10,8,4,3,39,26,20,13,55,11,23,58.515283842794766,2934,5116,35.542095699576016,1331,-10
Sydney,2025,8151,264,226,1382,884,1202,2063,169,999,232.88571428571427,7.542857142857143,39.48571428571429,4,1,0,11,5,2,1,35,28,19,13,64,8,21,53.87755102040816,2981,4946,36.57219973009447,1360,-18
West Coast,2025,7277,209,180,1320,722,1060,1769,182,796,186.5897435897436,5.358974358974359,33.84615384615385,2,0,0,9,3,1,1,39,27,20,10,12,6,3,53.72750642673522,2726,4395,37.46049196097293,1339,-33
Western Bulldogs,2025,8646,369,224,1299,946,1298,2142,260,815,240.16666666666666,10.25,36.083333333333336,6,3,2,11,8,4,2,36,23,20,14,90,12,25,62.22596964586846,3109,5429,35.9588248901226,1190,11
