team,year,jumper_number,player_name,games,kicks,marks,handballs,disposals,disposal_avg,goals,behinds,hitouts,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assists
Adelaide,2021,29,"Laird, Rory",22,314,82,390,704,32.0,3,8,0,130,47,81,150,98,38,33,16,326,383,2,3,16,4,15
Adelaide,2021,2,"Keays, Ben",22,350,82,269,619,28.14,12,8,0,133,44,119,122,103,26,33,11,241,344,2,7,29,4,11
Adelaide,2021,11,"Seedsman, Paul",22,347,118,227,574,26.09,12,13,0,51,61,125,44,74,18,18,4,135,436,2,2,15,31,14
Adelaide,2021,33,"Smith, Brodie",21,332,107,101,433,20.62,2,4,0,38,138,74,22,51,9,8,2,92,276,6,2,46,5,4
Adelaide,2021,26,"Schoenberg, Harry",22,230,62,175,405,18.41,10,9,0,79,26,78,67,79,16,32,0,163,247,1,8,19,4,9
Adelaide,2021,9,"Sloane, Rory",18,198,67,204,402,22.33,3,2,0,87,28,67,95,52,24,17,2,216,178,5,2,50,2,9
Adelaide,2021,39,"Doedee, Tom",21,203,100,145,348,16.57,1,1,0,47,91,20,6,55,19,22,0,142,182,30,1,142,4,1
Adelaide,2021,38,"Sholl, Lachlan",19,208,78,126,334,17.58,3,7,0,21,38,49,23,33,7,5,2,83,247,3,3,8,5,6
Adelaide,2021,8,"Kelly, Jake",20,214,102,95,309,15.45,0,0,0,42,64,20,4,44,21,17,0,92,199,11,0,74,0,0
Adelaide,2021,43,"OBrien, Reilly",20,138,71,156,294,14.7,2,0,585,55,26,38,77,53,25,20,5,191,101,38,3,74,0,4
Adelaide,2021,25,"McHenry, Ned",21,120,54,138,258,12.29,11,7,0,66,5,27,13,66,21,37,0,107,168,5,13,23,2,9
Adelaide,2021,36,"McPherson, Andrew",18,156,54,88,244,13.56,0,0,0,29,55,20,6,38,8,7,0,56,151,4,0,28,1,5
Adelaide,2021,31,"Rowe, James",19,123,41,118,241,12.68,15,11,0,35,4,34,9,33,18,9,0,91,155,2,8,7,1,7
Adelaide,2021,14,"Mackay, David",18,147,41,93,240,13.33,6,6,0,40,24,36,16,29,16,7,0,75,160,2,5,14,8,6
Adelaide,2021,41,"Butts, Jordon",22,151,84,80,231,10.5,0,0,0,30,67,13,0,44,23,17,0,82,150,12,0,132,0,0
Adelaide,2021,13,"Walker, Taylor",17,155,90,72,227,13.35,48,29,40,23,1,40,18,47,20,21,9,135,97,33,44,23,0,12
Adelaide,2021,27,"Lynch, Tom",12,129,64,86,215,17.92,8,9,0,15,6,28,11,23,13,8,0,63,150,5,9,12,0,10
Adelaide,2021,1,"Jones, Chayce",15,128,43,58,186,12.4,1,3,0,19,41,18,2,38,6,15,0,53,115,5,0,30,2,1
Adelaide,2021,4,"Murphy, Lachlan",15,100,25,76,176,11.73,9,15,0,34,3,31,21,27,22,9,0,91,87,0,5,13,1,5
Adelaide,2021,17,"Hamill, Will",17,94,27,79,173,10.18,0,0,0,35,24,14,7,28,18,8,0,78,96,4,0,22,0,1
Adelaide,2021,21,"Berry, Sam",17,60,27,94,154,9.06,5,9,0,69,3,28,17,31,12,17,0,89,76,4,3,19,0,6
Adelaide,2021,7,"Thilthorpe, Riley",14,94,44,58,152,10.86,18,10,25,19,2,14,8,32,10,14,0,88,69,16,17,32,0,4
Adelaide,2021,16,"Brown, Luke",11,99,39,43,142,12.91,0,0,0,26,47,12,3,16,8,2,0,39,86,1,1,28,0,1
Adelaide,2021,32,"Fogarty, Darcy",17,95,53,42,137,8.06,24,12,1,21,0,34,5,28,19,16,0,73,71,15,28,19,0,6
Adelaide,2021,23,"McAdam, Shane",15,79,56,48,127,8.47,25,11,0,34,1,16,4,38,14,21,0,61,68,13,28,13,1,6
Adelaide,2021,22,"Frampton, Billy",10,64,50,33,97,9.7,2,11,24,8,17,7,2,21,4,7,0,38,59,15,12,25,0,1
Adelaide,2021,28,"Murray, Nick",13,70,29,20,90,6.92,1,1,1,18,29,9,1,20,13,10,0,42,46,6,2,82,0,0
Adelaide,2021,34,"Himmelberg, Elliott",8,42,25,29,71,8.88,8,6,14,8,1,15,1,18,10,7,0,52,27,14,9,17,0,2
Adelaide,2021,15,"Cook, Brayden",3,22,6,20,42,14.0,0,0,0,3,2,5,2,4,0,1,0,13,29,0,0,0,1,0
Adelaide,2021,40,"Davis, Ben",4,20,10,15,35,8.75,0,0,0,3,2,3,0,2,3,1,0,13,22,1,0,3,1,0
Adelaide,2021,6,"Hately, Jackson",3,18,7,17,35,11.67,0,2,0,12,2,4,2,8,1,1,0,10,25,0,2,0,0,1
Adelaide,2021,45,"Strachan, Kieran",2,13,7,16,29,14.5,0,2,59,3,1,5,5,9,0,6,0,14,18,2,1,6,0,0
Adelaide,2021,10,"Pedlar, Luke",2,14,4,5,19,9.5,0,0,0,1,1,5,3,6,1,1,0,5,14,0,0,1,0,0
Adelaide,2021,37,"OConnor, Ronin",3,3,2,14,17,5.67,0,0,0,8,0,2,2,4,0,2,0,6,12,0,0,0,0,0
Adelaide,2021,44,"Gollant, Lachlan",1,7,3,4,11,11.0,1,1,0,1,0,3,0,3,1,0,0,6,5,1,2,0,0,0
Adelaide,2021,20,"Hinge, Mitch",1,6,3,1,7,7.0,0,0,0,0,2,1,0,1,1,0,0,2,5,1,0,1,0,0
Adelaide,2021,24,"Worrell, Josh",1,2,0,1,3,3.0,0,0,0,2,1,0,0,1,0,0,0,1,2,0,0,2,0,0
Brisbane Lions,2021,17,"Lyons, Jarryd",24,395,119,279,674,28.08,10,7,0,154,32,110,149,79,38,11,23,327,334,8,13,25,1,18
Brisbane Lions,2021,10,"Rich, Daniel",24,514,137,110,624,26.0,3,10,0,42,191,69,24,65,12,11,6,130,360,8,0,55,0,4
Brisbane Lions,2021,6,"McCluggage, Hugh",24,407,123,193,600,25.0,15,22,0,89,55,107,82,90,23,23,10,213,385,3,21,13,7,31
