team,year,total_disposals,total_goals,total_behinds,total_tackles,total_clearances,total_inside_50s,total_marks,total_contested_marks,total_hitouts,avg_disposal_per_player,avg_goals_per_player,avg_tackles_per_player,players_20plus_goals,players_30plus_goals,players_40plus_goals,players_300plus_disposals,players_400plus_disposals,players_500plus_disposals,players_100plus_tackles,total_players_used,players_with_10plus_games,players_with_15plus_games,players_with_20plus_games,total_brownlow_votes,players_with_brownlow_votes,top_brownlow_vote_getter,goal_accuracy,total_contested_poss,total_uncontested_poss,contested_poss_ratio,total_clangers,free_kick_differential
Adelaide,2022,7724,249,178,1487,869,1109,1642,220,908,203.26315789473685,6.552631578947368,39.13157894736842,3,2,1,7,4,3,3,38,29,19,8,51,9,14,58.31381733021077,3153,4473,40.82081822889695,1358,15
Brisbane Lions,2022,8658,356,213,1432,994,1393,2370,280,964,234.0,9.621621621621621,38.7027027027027,8,4,1,13,7,3,3,37,26,23,17,74,12,28,62.56590509666081,3498,5013,40.4019404019404,1487,33
Carlton,2022,8431,268,208,1231,828,1206,2117,254,610,210.775,6.7,30.775,3,2,2,10,8,3,1,40,24,21,8,89,11,29,56.30252100840336,3200,5171,37.95516546079943,1304,48
Collingwood,2022,8745,303,201,1586,878,1357,2047,263,941,230.1315789473684,7.973684210526316,41.73684210526316,5,2,2,15,8,5,2,38,24,22,16,63,15,11,60.11904761904761,3389,5113,38.753573470554606,1563,28
Essendon,2022,7968,249,193,1103,744,1113,2150,220,792,204.30769230769232,6.384615384615385,28.28205128205128,2,1,1,13,7,2,0,39,23,19,12,47,10,17,56.334841628959275,2784,5066,34.93975903614458,1243,24
Fremantle,2022,9200,271,196,1390,908,1238,2270,249,1017,262.85714285714283,7.742857142857143,39.714285714285715,5,2,0,12,9,6,2,35,25,21,19,83,14,25,58.02997858672377,3331,5724,36.20652173913044,1384,-5
Geelong,2022,9358,359,252,1457,940,1442,2441,271,939,267.37142857142857,10.257142857142858,41.628571428571426,4,3,3,16,9,4,3,35,25,23,19,92,13,19,58.756137479541735,3411,5790,36.45009617439624,1491,5
Gold Coast,2022,7170,271,193,1305,862,1229,1834,211,943,179.25,6.775,32.625,4,2,1,6,5,2,2,40,25,17,12,75,13,27,58.4051724137931,3137,3913,43.75174337517434,1385,-13
Greater Western Sydney,2022,8018,237,177,1325,780,1077,2166,245,810,205.5897435897436,6.076923076923077,33.97435897435897,3,2,0,11,7,3,2,39,27,19,8,50,14,13,57.2463768115942,2918,4922,36.393115490147174,1305,4
Hawthorn,2022,7728,262,168,1298,715,1095,1919,223,732,198.15384615384616,6.717948717948718,33.282051282051285,4,3,1,9,6,2,2,39,25,18,11,45,9,11,60.93023255813953,2985,4586,38.62577639751553,1388,-7
Melbourne,2022,8792,300,218,1355,910,1353,2074,278,899,266.42424242424244,9.090909090909092,41.06060606060606,3,3,2,12,8,4,3,33,26,22,16,94,12,25,57.91505791505791,3561,5152,40.50272975432211,1413,5
North Melbourne,2022,7367,193,138,1230,800,958,1864,223,895,188.89743589743588,4.948717948717949,31.53846153846154,2,2,0,8,3,2,1,39,28,20,10,31,8,8,58.30815709969789,2810,4396,38.143070449300936,1355,-35
Port Adelaide,2022,8396,261,198,1321,838,1164,2115,234,583,226.9189189189189,7.054054054054054,35.7027027027027,4,1,1,12,8,4,1,37,25,18,13,74,10,15,56.86274509803921,3030,5223,36.08861362553597,1366,-30
Richmond,2022,8101,334,207,1150,775,1315,2060,263,897,218.94594594594594,9.027027027027026,31.08108108108108,3,3,3,12,7,1,0,37,25,22,11,75,13,19,61.737523105360445,3123,4804,38.55079619800025,1514,-84
St Kilda,2022,8248,247,181,1266,767,1093,2265,234,815,235.65714285714284,7.057142857142857,36.17142857142857,3,3,1,11,6,3,2,35,26,20,11,72,16,13,57.71028037383178,2990,5109,36.25121241513094,1377,-34
Sydney,2022,8767,336,238,1623,938,1357,2333,273,756,250.4857142857143,9.6,46.371428571428574,5,4,2,12,9,4,4,35,27,21,15,83,12,21,58.536585365853654,3485,5133,39.75134025322231,1487,-28
West Coast,2022,7327,212,121,1292,748,893,2160,214,651,155.89361702127658,4.51063829787234,27.48936170212766,3,2,0,6,4,0,2,47,27,17,4,15,6,6,63.66366366366366,2679,4525,36.56339565988809,1218,3
Western Bulldogs,2022,8677,295,207,1297,920,1295,2151,254,682,211.6341463414634,7.195121951219512,31.634146341463413,3,2,1,10,9,6,3,41,26,18,11,75,10,14,58.76494023904383,3210,5423,36.994352886942494,1288,95
