team,year,total_disposals,total_goals,total_behinds,total_tackles,total_clearances,total_inside_50s,total_marks,total_contested_marks,total_hitouts,avg_disposal_per_player,avg_goals_per_player,avg_tackles_per_player,players_20plus_goals,players_30plus_goals,players_40plus_goals,players_300plus_disposals,players_400plus_disposals,players_500plus_disposals,players_100plus_tackles,total_players_used,players_with_10plus_games,players_with_15plus_games,players_with_20plus_games,total_brownlow_votes,players_with_brownlow_votes,top_brownlow_vote_getter,goal_accuracy,total_contested_poss,total_uncontested_poss,contested_poss_ratio,total_clangers,free_kick_differential
Adelaide,2019,8644,256,190,1387,835,1119,2080,246,898,240.11111111111111,7.111111111111111,38.52777777777778,3,2,1,10,6,5,2,36,25,19,10,53,12,14,57.399103139013455,3247,5269,37.56362795002314,1111,74
Brisbane Lions,2019,8491,307,236,1531,1005,1344,2146,292,1034,242.6,8.771428571428572,43.74285714285714,7,2,1,12,7,5,2,35,23,20,18,90,10,26,56.537753222836095,3561,4759,41.938523142150515,1367,-2
Carlton,2019,7774,231,183,1380,887,1054,1992,266,852,210.1081081081081,6.243243243243243,37.2972972972973,2,0,0,11,6,2,2,37,24,20,12,60,13,26,55.79710144927537,3131,4441,40.27527656290198,1261,-44
Collingwood,2019,9634,290,204,1511,869,1244,2501,293,1125,267.6111111111111,8.055555555555555,41.97222222222222,5,2,0,12,8,6,3,36,23,19,13,81,12,23,58.70445344129555,3519,6013,36.52688395266764,1298,88
Essendon,2019,8452,256,181,1419,835,1154,2014,274,736,222.42105263157896,6.7368421052631575,37.3421052631579,4,2,0,12,7,2,2,38,24,21,10,58,12,16,58.58123569794051,3276,5015,38.760056791292,1295,-8
Fremantle,2019,8236,225,181,1273,834,1134,1880,270,858,222.59459459459458,6.081081081081081,34.4054054054054,2,2,1,12,7,4,1,37,24,16,12,69,10,33,55.41871921182266,3339,4850,40.54152501214182,1206,16
Geelong,2019,9116,320,226,1653,980,1305,2259,308,893,268.11764705882354,9.411764705882353,48.61764705882353,7,2,1,15,7,4,6,34,24,22,18,90,10,27,58.60805860805861,3756,5221,41.2022817025011,1319,25
Gold Coast,2019,7560,194,159,1408,879,995,1910,223,1173,198.94736842105263,5.105263157894737,37.05263157894737,2,1,0,9,4,2,3,38,24,17,8,22,5,7,54.95750708215298,3111,4335,41.15079365079365,1230,57
Greater Western Sydney,2019,9851,322,226,1655,1082,1339,2669,270,1011,259.2368421052632,8.473684210526315,43.55263157894737,4,3,2,17,9,6,2,38,24,22,15,84,12,17,58.75912408759124,3739,6022,37.95553750888235,1504,-102
Hawthorn,2019,8091,250,182,1424,756,1159,2018,303,950,237.97058823529412,7.352941176470588,41.88235294117647,3,1,0,10,6,3,3,34,24,18,9,67,14,11,57.870370370370374,3077,4910,38.029909776294645,1193,-43
Melbourne,2019,7989,223,181,1344,855,1187,1916,227,1032,204.84615384615384,5.717948717948718,34.46153846153846,3,0,0,10,7,2,3,39,23,13,11,47,7,17,55.1980198019802,3274,4641,40.981349355363626,1304,-24
North Melbourne,2019,8293,265,192,1252,793,1140,1791,242,869,236.94285714285715,7.571428571428571,35.77142857142857,5,1,1,12,7,2,1,35,23,20,12,68,11,18,57.98687089715536,3202,5090,38.61087664295189,1176,5
Port Adelaide,2019,8695,257,219,1412,909,1278,1932,222,961,235.0,6.945945945945946,38.16216216216216,3,0,0,14,5,2,1,37,26,19,8,66,13,16,53.99159663865546,3419,5142,39.32144910868315,1230,-3
Richmond,2019,9144,322,209,1569,848,1395,2197,258,803,234.46153846153845,8.256410256410257,40.23076923076923,4,2,1,10,7,4,2,39,26,20,13,72,13,23,60.64030131826742,3429,5554,37.5,1457,-27
St Kilda,2019,7926,233,201,1410,838,1120,1997,238,692,203.23076923076923,5.9743589743589745,36.15384615384615,2,2,1,11,6,2,1,39,24,18,10,53,13,12,53.686635944700456,3080,4793,38.85944991168307,1144,-36
Sydney,2019,8159,248,183,1456,758,1049,2002,268,628,233.11428571428573,7.085714285714285,41.6,4,1,0,12,8,3,2,35,24,16,12,53,10,16,57.540603248259856,3037,4882,37.22269886015443,1233,-63
West Coast,2019,8448,309,176,1381,941,1211,2384,281,871,248.47058823529412,9.088235294117647,40.61764705882353,6,4,2,9,7,5,3,34,26,19,15,74,10,17,63.71134020618556,3259,5092,38.57717803030303,1255,5
Western Bulldogs,2019,8974,287,234,1430,849,1274,2122,236,562,263.94117647058823,8.441176470588236,42.05882352941177,5,2,0,12,7,4,3,34,25,19,13,81,11,22,55.08637236084453,3244,5557,36.14887452640963,1157,92
