Date,Home Team,Away Team,Home Score,Away Score,Venue
Thu 07-Mar-2024,Sydney,Melbourne,86,64,S.C.G.
Fri 08-Mar-2024,Brisbane Lions,Carlton,85,86,Gabba
Sat 09-Mar-2024,Gold Coast,Richmond,99,60,Carrara
Sat 09-Mar-2024,Greater Western Sydney,Collingwood,114,82,Sydney Showground
Thu 14-Mar-2024,Carlton,Richmond,86,81,M.C.G.
Fri 15-Mar-2024,Collingwood,Sydney,69,102,M.C.G.
Sat 16-Mar-2024,Essendon,Hawthorn,107,83,M.C.G.
Sat 16-Mar-2024,Greater Western Sydney,North Melbourne,121,82,Sydney Showground
Sat 16-Mar-2024,Geelong,St Kilda,76,68,Kardinia Park
Sat 16-Mar-2024,Gold Coast,Adelaide,60,54,Carrara
Sun 17-Mar-2024,Melbourne,Western Bulldogs,109,64,M.C.G.
Sun 17-Mar-2024,Port Adelaide,West Coast,120,70,Adelaide Oval
Sun 17-Mar-2024,Fremantle,Brisbane Lions,93,70,Perth Stadium
Thu 21-Mar-2024,St Kilda,Collingwood,94,79,M.C.G.
Fri 22-Mar-2024,Adelaide,Geelong,77,96,Adelaide Oval
Sat 23-Mar-2024,North Melbourne,Fremantle,76,102,Docklands
Sat 23-Mar-2024,Hawthorn,Melbourne,38,93,M.C.G.
Sat 23-Mar-2024,Sydney,Essendon,131,101,S.C.G.
Sun 24-Mar-2024,Western Bulldogs,Gold Coast,115,67,Eureka Stadium
Sun 24-Mar-2024,Richmond,Port Adelaide,92,122,M.C.G.
Sun 24-Mar-2024,West Coast,Greater Western Sydney,43,108,Perth Stadium
Thu 28-Mar-2024,Brisbane Lions,Collingwood,72,92,Gabba
Fri 29-Mar-2024,North Melbourne,Carlton,81,137,Docklands
Fri 29-Mar-2024,Fremantle,Adelaide,69,34,Perth Stadium
Sat 30-Mar-2024,Essendon,St Kilda,71,67,Docklands
Sat 30-Mar-2024,Port Adelaide,Melbourne,89,96,Adelaide Oval
Sun 31-Mar-2024,Western Bulldogs,West Coast,106,30,Docklands
Sun 31-Mar-2024,Richmond,Sydney,82,77,M.C.G.
Mon 01-Apr-2024,Hawthorn,Geelong,70,106,M.C.G.
Thu 04-Apr-2024,Adelaide,Melbourne,63,78,Adelaide Oval
Fri 05-Apr-2024,Brisbane Lions,North Melbourne,112,42,Norwood Oval
Fri 05-Apr-2024,Port Adelaide,Essendon,111,42,Adelaide Oval
Sat 06-Apr-2024,West Coast,Sydney,78,104,Summit Sports Park
Sat 06-Apr-2024,Fremantle,Carlton,63,73,Adelaide Oval
Sat 06-Apr-2024,Western Bulldogs,Geelong,91,95,Adelaide Oval
