team,year,total_disposals,total_goals,total_behinds,total_tackles,total_clearances,total_inside_50s,total_marks,total_contested_marks,total_hitouts,avg_disposal_per_player,avg_goals_per_player,avg_tackles_per_player,players_20plus_goals,players_30plus_goals,players_40plus_goals,players_300plus_disposals,players_400plus_disposals,players_500plus_disposals,players_100plus_tackles,total_players_used,players_with_10plus_games,players_with_15plus_games,players_with_20plus_games,total_brownlow_votes,players_with_brownlow_votes,top_brownlow_vote_getter,goal_accuracy,total_contested_poss,total_uncontested_poss,contested_poss_ratio,total_clangers,free_kick_differential
Adelaide,2023,8368,319,237,1546,921,1257,2022,270,1077,226.16216216216216,8.621621621621621,41.78378378378378,6,3,1,12,6,2,3,37,25,21,17,77,11,20,57.37410071942446,3302,4863,39.459847036328874,1358,-34
Brisbane Lions,2023,8864,359,247,1444,1098,1471,2572,298,988,253.25714285714287,10.257142857142858,41.25714285714286,7,3,3,15,7,3,2,35,25,22,18,92,14,31,59.240924092409244,3528,5171,39.8014440433213,1447,65
Carlton,2023,9790,306,225,1606,982,1389,2444,341,914,264.5945945945946,8.27027027027027,43.4054054054054,4,1,1,11,9,7,3,37,30,24,12,78,13,22,57.6271186440678,3703,5924,37.82431052093973,1511,46
Collingwood,2023,9469,346,202,1667,960,1369,2339,276,991,255.9189189189189,9.35135135135135,45.054054054054056,5,3,1,12,11,6,4,37,27,23,19,93,16,28,63.138686131386855,3442,5760,36.35019537437956,1531,31
Essendon,2023,8585,267,190,1311,775,1159,2321,226,875,252.5,7.852941176470588,38.55882352941177,3,1,1,13,6,5,1,34,27,21,12,59,11,17,58.42450765864332,2999,5412,34.93302271403611,1210,24
Fremantle,2023,8450,271,164,1457,855,1155,2136,247,1060,234.72222222222223,7.527777777777778,40.47222222222222,5,3,1,12,6,3,3,36,25,20,15,67,11,24,62.29885057471264,3038,5288,35.95266272189349,1146,74
Geelong,2023,7946,306,196,1402,817,1222,2102,261,875,209.10526315789474,8.052631578947368,36.89473684210526,5,3,3,13,5,1,1,38,25,23,12,55,13,13,60.95617529880478,3053,4656,38.42184747042537,1341,-10
Gold Coast,2023,7862,265,195,1344,906,1191,2092,248,1000,196.55,6.625,33.6,4,2,1,10,3,1,2,40,23,20,11,57,8,22,57.608695652173914,3214,4463,40.8801831595014,1343,-53
Greater Western Sydney,2023,9941,330,233,1597,941,1453,2241,258,859,276.1388888888889,9.166666666666666,44.361111111111114,4,3,2,16,10,5,2,36,27,24,18,71,10,20,58.614564831261106,3683,6008,37.04858666130168,1567,-12
Hawthorn,2023,8895,243,181,1294,807,1163,2223,209,948,234.07894736842104,6.394736842105263,34.05263157894737,2,2,1,11,9,5,1,38,28,20,11,57,10,18,57.311320754716974,3030,5790,34.06408094435076,1339,-19
Melbourne,2023,9183,321,222,1530,945,1460,2091,265,1021,270.0882352941176,9.441176470588236,45.0,6,2,0,15,7,4,3,34,26,21,16,89,15,26,59.11602209944752,3659,5396,39.84536643798323,1464,46
North Melbourne,2023,8170,243,149,1345,831,1076,1998,226,938,190.0,5.651162790697675,31.27906976744186,3,1,1,7,3,2,0,43,26,17,8,39,9,13,61.98979591836735,2966,5058,36.303549571603426,1331,-53
Port Adelaide,2023,8400,330,254,1518,958,1416,2073,271,740,227.02702702702703,8.91891891891892,41.027027027027025,6,4,0,12,6,4,2,37,27,21,17,86,9,27,56.5068493150685,3381,4841,40.25,1464,-69
Richmond,2023,8182,265,207,1349,822,1212,1948,255,969,227.27777777777777,7.361111111111111,37.47222222222222,3,2,0,15,6,2,1,36,26,21,13,65,10,19,56.144067796610166,3123,4862,38.16915179662674,1503,-59
St Kilda,2023,9383,271,172,1523,810,1250,2475,255,759,293.21875,8.46875,47.59375,5,2,0,17,9,4,4,32,26,23,16,73,10,21,61.17381489841986,3357,5836,35.77746989235852,1452,78
Sydney,2023,8616,308,220,1604,871,1282,2038,248,759,239.33333333333334,8.555555555555555,44.55555555555556,7,3,0,14,8,4,3,36,26,22,16,75,12,27,58.333333333333336,3342,5092,38.788300835654596,1422,-7
West Coast,2023,7962,204,149,1397,793,998,2060,175,764,199.05,5.1,34.925,2,1,1,6,5,2,2,40,31,14,8,28,7,11,57.79036827195468,2786,5013,34.991208239135894,1279,-25
Western Bulldogs,2023,8529,276,215,1505,958,1242,2021,222,910,230.51351351351352,7.45945945945946,40.67567567567568,4,3,1,10,9,6,4,37,26,19,12,81,12,29,56.211812627291245,3226,5274,37.8238949466526,1234,-3
