team,year,total_disposals,total_goals,total_behinds,total_tackles,total_clearances,total_inside_50s,total_marks,total_contested_marks,total_hitouts,avg_disposal_per_player,avg_goals_per_player,avg_tackles_per_player,players_20plus_goals,players_30plus_goals,players_40plus_goals,players_300plus_disposals,players_400plus_disposals,players_500plus_disposals,players_100plus_tackles,total_players_used,players_with_10plus_games,players_with_15plus_games,players_with_20plus_games,total_brownlow_votes,players_with_brownlow_votes,top_brownlow_vote_getter,goal_accuracy,total_contested_poss,total_uncontested_poss,contested_poss_ratio,total_clangers,free_kick_differential
Adelaide,2020,4797,116,100,905,454,614,1006,150,535,126.23684210526316,3.0526315789473686,23.81578947368421,0,0,0,2,1,0,0,38,21,8,0,20,8,4,53.70370370370371,1937,2777,40.37940379403794,763,24
Brisbane Lions,2020,5310,181,175,990,604,869,1435,188,588,147.5,5.027777777777778,27.5,2,1,0,3,2,1,0,36,20,20,0,66,12,31,50.84269662921348,2248,2975,42.335216572504706,793,8
Carlton,2020,4780,146,114,899,534,751,1201,171,475,132.77777777777777,4.055555555555555,24.97222222222222,1,0,0,4,0,0,0,36,21,17,0,48,15,10,56.15384615384615,2049,2634,42.86610878661088,842,-8
Collingwood,2020,5985,156,98,970,561,784,1345,168,693,149.625,3.9,24.25,1,0,0,5,1,0,1,40,23,13,0,66,12,13,61.417322834645674,2296,3655,38.3625730994152,852,72
Essendon,2020,5138,136,101,842,514,677,1121,135,446,135.21052631578948,3.5789473684210527,22.157894736842106,0,0,0,6,1,0,0,38,20,9,0,37,8,13,57.383966244725734,1890,3112,36.78474114441417,819,-50
Fremantle,2020,5100,127,78,825,491,634,1229,176,493,150.0,3.735294117647059,24.264705882352942,1,0,0,3,0,0,0,34,21,12,0,50,11,10,61.951219512195124,2029,3027,39.78431372549019,759,41
Geelong,2020,6515,220,146,1090,707,906,1755,189,617,191.61764705882354,6.470588235294118,32.05882352941177,2,1,1,6,4,0,1,34,23,18,10,64,12,15,60.10928961748634,2544,3916,39.04834996162702,968,-40
Gold Coast,2020,4853,142,111,828,516,704,1138,141,531,151.65625,4.4375,25.875,1,0,0,2,0,0,1,32,21,16,0,38,12,11,56.126482213438734,2016,2739,41.54131465073151,852,-11
Greater Western Sydney,2020,5074,145,105,884,523,649,1244,145,437,133.52631578947367,3.8157894736842106,23.263157894736842,1,0,0,4,0,0,0,38,21,11,0,51,13,12,57.99999999999999,2001,3016,39.436342136381555,821,-22
Hawthorn,2020,4904,147,89,818,437,669,1121,141,500,122.6,3.675,20.45,1,1,0,1,1,0,0,40,21,9,0,33,9,10,62.28813559322034,1871,2953,38.15252854812398,792,-71
Melbourne,2020,5039,155,114,749,480,722,1212,162,568,139.97222222222223,4.305555555555555,20.805555555555557,1,0,0,5,2,0,0,36,18,9,0,61,8,20,57.62081784386617,2057,2920,40.82159158563207,817,0
North Melbourne,2020,5096,124,86,844,506,665,1082,146,520,130.66666666666666,3.1794871794871793,21.641025641025642,0,0,0,5,0,0,0,39,18,11,0,27,9,8,59.04761904761905,2016,3002,39.56043956043956,803,39
Port Adelaide,2020,5861,183,151,1089,657,880,1260,172,563,195.36666666666667,6.1,36.3,1,1,0,6,1,0,1,30,23,17,0,75,17,21,54.79041916167665,2411,3393,41.13632485923904,896,50
Richmond,2020,6096,202,133,1083,565,986,1435,184,556,184.72727272727272,6.121212121212121,32.81818181818182,3,2,0,5,2,0,0,33,24,17,8,56,15,15,60.298507462686565,2436,3568,39.960629921259844,1102,-68
St Kilda,2020,5555,187,123,900,566,784,1427,182,618,163.38235294117646,5.5,26.470588235294116,3,0,0,4,1,0,1,34,24,17,0,60,13,20,60.322580645161295,2194,3275,39.4959495949595,859,-7
Sydney,2020,4976,128,105,935,494,668,1112,151,461,127.58974358974359,3.282051282051282,23.974358974358974,1,0,0,2,1,0,0,39,18,10,0,39,9,15,54.93562231759657,2016,2811,40.51446945337621,818,12
West Coast,2020,5151,173,107,820,569,702,1420,190,633,139.21621621621622,4.675675675675675,22.16216216216216,3,2,0,3,1,0,0,37,22,15,0,66,11,11,61.78571428571429,2065,3080,40.08930304795185,767,16
Western Bulldogs,2020,5576,168,128,905,533,771,1163,160,331,139.4,4.2,22.625,1,0,0,5,1,0,0,40,22,13,0,61,13,15,56.75675675675676,2123,3428,38.07388809182209,743,15
