Date,Home Team,Away Team,Home Score,Away Score,Venue
Thu 22-Mar-2018,Richmond,Carlton,121,95,M.C.G.
Fri 23-Mar-2018,Essendon,Adelaide,99,87,Docklands
Sat 24-Mar-2018,St Kilda,Brisbane Lions,107,82,Docklands
Sat 24-Mar-2018,Port Adelaide,Fremantle,110,60,Adelaide Oval
Sat 24-Mar-2018,Gold Coast,North Melbourne,55,39,Cazaly's Stadium
Sat 24-Mar-2018,Hawthorn,Collingwood,101,67,M.C.G.
Sun 25-Mar-2018,Greater Western Sydney,Western Bulldogs,133,51,Manuka Oval
Sun 25-Mar-2018,Melbourne,Geelong,94,97,M.C.G.
Sun 25-Mar-2018,West Coast,Sydney,86,115,Perth Stadium
Thu 29-Mar-2018,Adelaide,Richmond,118,82,Adelaide Oval
Fri 30-Mar-2018,North Melbourne,St Kilda,95,43,Docklands
Sat 31-Mar-2018,Carlton,Gold Coast,67,101,Docklands
Sat 31-Mar-2018,Collingwood,Greater Western Sydney,79,95,M.C.G.
Sat 31-Mar-2018,Brisbane Lions,Melbourne,74,100,Gabba
Sat 31-Mar-2018,Fremantle,Essendon,106,90,Perth Stadium
Sun 01-Apr-2018,Western Bulldogs,West Coast,70,121,Docklands
Sun 01-Apr-2018,Sydney,Port Adelaide,71,94,S.C.G.
Mon 02-Apr-2018,Geelong,Hawthorn,117,118,M.C.G.
Fri 06-Apr-2018,Carlton,Collingwood,76,100,M.C.G.
Sat 07-Apr-2018,Port Adelaide,Brisbane Lions,97,92,Adelaide Oval
Sat 07-Apr-2018,Melbourne,North Melbourne,123,86,M.C.G.
Sat 07-Apr-2018,Gold Coast,Fremantle,68,96,Perth Stadium
Sat 07-Apr-2018,St Kilda,Adelaide,55,104,Docklands
Sat 07-Apr-2018,Sydney,Greater Western Sydney,103,87,S.C.G.
Sun 08-Apr-2018,Richmond,Hawthorn,102,89,M.C.G.
Sun 08-Apr-2018,Western Bulldogs,Essendon,104,83,Docklands
Sun 08-Apr-2018,West Coast,Geelong,95,80,Perth Stadium
Fri 13-Apr-2018,Adelaide,Collingwood,58,106,Adelaide Oval
Sat 14-Apr-2018,Greater Western Sydney,Fremantle,82,51,Manuka Oval
Sat 14-Apr-2018,Richmond,Brisbane Lions,110,17,M.C.G.
Sat 14-Apr-2018,Western Bulldogs,Sydney,79,86,Docklands
Sat 14-Apr-2018,North Melbourne,Carlton,116,30,Bellerive Oval
Sat 14-Apr-2018,West Coast,Gold Coast,139,59,Perth Stadium
