team,year,jumper_number,player_name,games,kicks,marks,handballs,disposals,disposal_avg,goals,behinds,hitouts,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assists
Greater Western Sydney,2023,16,"Daniels, Brent",20,196,54,140,336,16.8,26,14,0,66,6,72,39,60,19,13,0,137,194,1,19,13,7,19
Greater Western Sydney,2023,13,"Cumming, Isaac",20,231,83,103,334,16.7,6,0,0,49,66,39,18,51,9,11,0,78,202,5,5,54,10,3
Greater Western Sydney,2023,19,"Haynes, Nick",20,214,125,101,315,15.75,2,2,0,15,66,22,11,31,5,7,0,83,231,13,3,58,14,1
Greater Western Sydney,2023,23,"Hogan, Jesse",23,182,141,119,301,13.09,49,28,20,40,2,38,6,58,20,12,3,154,151,45,70,41,0,9
Greater Western Sydney,2023,38,"Lloyd, Daniel",23,162,67,135,297,12.91,12,15,0,70,13,50,9,44,7,7,0,125,175,4,12,22,4,13
Greater Western Sydney,2023,32,"Briggs, Kieren",17,165,47,97,262,15.41,4,6,440,77,30,64,110,58,22,21,0,181,74,12,4,60,0,7
Greater Western Sydney,2023,14,"Bedford, Toby",19,105,44,145,250,13.16,12,16,0,97,6,45,36,42,15,12,0,106,142,2,15,16,1,11
Greater Western Sydney,2023,15,"Taylor, Sam",18,118,93,120,238,13.22,0,0,0,38,50,10,3,29,26,14,3,143,96,36,0,147,0,1
Greater Western Sydney,2023,46,"Brown, Callum",19,118,77,83,201,10.58,19,14,12,32,11,35,7,30,11,6,0,81,125,19,21,33,3,10
Greater Western Sydney,2023,26,"Riccardi, Jake",21,146,84,52,198,9.43,35,20,16,33,3,37,6,51,8,17,2,62,132,14,46,39,0,9
Greater Western Sydney,2023,33,"OHalloran, Xavier",15,103,31,83,186,12.4,11,8,0,43,6,47,7,48,10,13,0,77,118,3,8,18,0,5
Greater Western Sydney,2023,9,"Angwin, Ryan",15,62,31,84,146,9.73,1,1,0,33,9,25,13,20,4,2,0,52,100,1,5,18,4,5
Greater Western Sydney,2023,20,"Peatling, James",10,64,26,45,109,10.9,0,6,0,30,6,21,5,20,8,4,0,45,67,3,3,13,2,4
Greater Western Sydney,2023,30,"Flynn, Matt",9,47,15,59,106,11.78,1,2,256,30,10,19,33,21,13,12,0,67,37,2,4,36,0,1
Greater Western Sydney,2023,25,"Keeffe, Lachlan",14,43,28,46,89,6.36,1,3,94,20,4,13,7,23,4,9,0,50,47,7,2,43,0,6
Greater Western Sydney,2023,43,"Hamilton, Cooper",4,27,12,30,57,14.25,1,1,0,3,4,6,1,13,4,4,0,17,39,1,1,6,0,2
Greater Western Sydney,2023,5,"Cadman, Aaron",12,35,19,19,54,4.5,6,4,0,19,0,9,0,22,2,8,0,32,25,6,9,7,0,1
Greater Western Sydney,2023,34,"Fahey, Josh",7,38,15,14,52,7.43,4,2,0,6,6,12,1,13,2,1,0,10,42,0,2,2,0,2
Greater Western Sydney,2023,24,"Rowston, Harry",7,28,11,21,49,7.0,1,2,0,10,4,10,5,8,2,1,0,20,29,1,0,4,0,0
Greater Western Sydney,2023,40,"Kennedy, Adam",5,22,8,14,36,7.2,0,0,0,5,1,6,1,4,4,4,0,13,25,0,1,6,2,4
Greater Western Sydney,2023,10,"Wehr, Jacob",4,13,7,13,26,6.5,0,0,0,9,4,4,3,6,2,3,0,6,22,1,0,1,0,0
Greater Western Sydney,2023,29,"Fleeton, Cameron",2,8,3,9,17,8.5,0,0,0,5,2,1,0,3,1,0,0,8,9,1,0,8,0,0
Greater Western Sydney,2023,31,"McMullin, Toby",3,10,3,4,14,4.67,1,2,0,6,0,2,1,6,1,1,0,5,10,0,0,2,1,1
