Date,Home Team,Away Team,Home Score,Away Score,Venue
Thu 24-Mar-2016,Richmond,Carlton,92,83,M.C.G.
Sat 26-Mar-2016,Melbourne,Greater Western Sydney,80,78,M.C.G.
Sat 26-Mar-2016,Gold Coast,Essendon,121,60,Carrara
Sat 26-Mar-2016,North Melbourne,Adelaide,107,97,Docklands
Sat 26-Mar-2016,Sydney,Collingwood,133,53,S.C.G.
Sun 27-Mar-2016,Western Bulldogs,Fremantle,103,38,Docklands
Sun 27-Mar-2016,Port Adelaide,St Kilda,133,100,Adelaide Oval
Sun 27-Mar-2016,West Coast,Brisbane Lions,166,102,Subiaco
Mon 28-Mar-2016,Geelong,Hawthorn,116,86,M.C.G.
Fri 01-Apr-2016,Collingwood,Richmond,87,86,M.C.G.
Sat 02-Apr-2016,Adelaide,Port Adelaide,144,86,Adelaide Oval
Sat 02-Apr-2016,Essendon,Melbourne,80,67,M.C.G.
Sat 02-Apr-2016,Brisbane Lions,North Melbourne,83,117,Gabba
Sat 02-Apr-2016,St Kilda,Western Bulldogs,36,93,Docklands
Sat 02-Apr-2016,Fremantle,Gold Coast,100,126,Subiaco
Sun 03-Apr-2016,Greater Western Sydney,Geelong,89,76,Manuka Oval
Sun 03-Apr-2016,Hawthorn,West Coast,99,53,M.C.G.
Sun 03-Apr-2016,Carlton,Sydney,71,131,Docklands
Fri 08-Apr-2016,Port Adelaide,Essendon,112,51,Adelaide Oval
Sat 09-Apr-2016,St Kilda,Collingwood,119,90,M.C.G.
Sat 09-Apr-2016,Richmond,Adelaide,92,128,Docklands
Sat 09-Apr-2016,Sydney,Greater Western Sydney,93,68,S.C.G.
Sat 09-Apr-2016,Gold Coast,Carlton,95,41,Carrara
Sat 09-Apr-2016,West Coast,Fremantle,92,59,Subiaco
Sun 10-Apr-2016,North Melbourne,Melbourne,136,131,Bellerive Oval
Sun 10-Apr-2016,Western Bulldogs,Hawthorn,90,93,Docklands
Sun 10-Apr-2016,Geelong,Brisbane Lions,125,56,Kardinia Park
Fri 15-Apr-2016,West Coast,Richmond,125,57,Subiaco
Sat 16-Apr-2016,Essendon,Geelong,42,72,M.C.G.
Sat 16-Apr-2016,Hawthorn,St Kilda,87,84,York Park
Sat 16-Apr-2016,Brisbane Lions,Gold Coast,107,94,Gabba
Sat 16-Apr-2016,Carlton,Western Bulldogs,49,85,Docklands
Sat 16-Apr-2016,Adelaide,Sydney,113,103,Adelaide Oval
Sun 17-Apr-2016,Greater Western Sydney,Port Adelaide,151,65,Manuka Oval
Sun 17-Apr-2016,Collingwood,Melbourne,67,102,M.C.G.
Sun 17-Apr-2016,North Melbourne,Fremantle,132,101,Docklands
Fri 22-Apr-2016,Hawthorn,Adelaide,112,109,M.C.G.
Sat 23-Apr-2016,Sydney,West Coast,88,49,S.C.G.
Sat 23-Apr-2016,Gold Coast,North Melbourne,81,119,Carrara
Sat 23-Apr-2016,Western Bulldogs,Brisbane Lions,120,67,Docklands
Sat 23-Apr-2016,Port Adelaide,Geelong,59,107,Adelaide Oval
Sun 24-Apr-2016,St Kilda,Greater Western Sydney,79,126,Docklands
Sun 24-Apr-2016,Fremantle,Carlton,68,72,Subiaco
Sun 24-Apr-2016,Melbourne,Richmond,129,96,M.C.G.
Mon 25-Apr-2016,Collingwood,Essendon,142,73,M.C.G.
Fri 29-Apr-2016,North Melbourne,Western Bulldogs,61,45,Docklands
Sat 30-Apr-2016,Melbourne,St Kilda,96,135,Docklands
Sat 30-Apr-2016,Adelaide,Fremantle,97,64,Adelaide Oval
Sat 30-Apr-2016,Greater Western Sydney,Hawthorn,158,83,Sydney Showground
Sat 30-Apr-2016,Geelong,Gold Coast,168,48,Kardinia Park
Sat 30-Apr-2016,Richmond,Port Adelaide,59,94,M.C.G.
Sun 01-May-2016,Brisbane Lions,Sydney,94,97,Gabba
Sun 01-May-2016,Carlton,Essendon,72,57,M.C.G.
Sun 01-May-2016,West Coast,Collingwood,124,62,Subiaco
Fri 06-May-2016,Richmond,Hawthorn,90,136,M.C.G.
Sat 07-May-2016,Collingwood,Carlton,84,99,M.C.G.
Sat 07-May-2016,Geelong,West Coast,123,79,Kardinia Park
Sat 07-May-2016,Sydney,Essendon,135,54,S.C.G.
Sat 07-May-2016,Gold Coast,Melbourne,87,160,Carrara
Sat 07-May-2016,Western Bulldogs,Adelaide,123,108,Docklands
Sat 07-May-2016,Fremantle,Greater Western Sydney,77,95,Subiaco
Sun 08-May-2016,St Kilda,North Melbourne,75,82,Docklands
Sun 08-May-2016,Port Adelaide,Brisbane Lions,136,59,Adelaide Oval
Fri 13-May-2016,Adelaide,Geelong,72,98,Adelaide Oval
Sat 14-May-2016,Essendon,North Melbourne,60,74,Docklands
Sat 14-May-2016,Hawthorn,Fremantle,116,75,York Park
Sat 14-May-2016,Greater Western Sydney,Gold Coast,149,58,Sydney Showground
Sat 14-May-2016,Brisbane Lions,Collingwood,65,143,Gabba
Sat 14-May-2016,Richmond,Sydney,101,100,M.C.G.
Sun 15-May-2016,Carlton,Port Adelaide,93,91,Docklands
Sun 15-May-2016,Melbourne,Western Bulldogs,82,114,M.C.G.
Sun 15-May-2016,West Coast,St Kilda,132,29,Subiaco
Fri 20-May-2016,Hawthorn,Sydney,55,69,M.C.G.
Sat 21-May-2016,Collingwood,Geelong,104,80,M.C.G.
Sat 21-May-2016,Gold Coast,Adelaide,74,149,Carrara
Sat 21-May-2016,Port Adelaide,West Coast,86,94,Adelaide Oval
Sat 21-May-2016,North Melbourne,Carlton,113,46,Docklands
Sat 21-May-2016,Fremantle,Richmond,45,83,Subiaco
Sun 22-May-2016,Melbourne,Brisbane Lions,131,68,M.C.G.
Sun 22-May-2016,Greater Western Sydney,Western Bulldogs,98,73,Sydney Showground
Sun 22-May-2016,St Kilda,Essendon,109,63,Docklands
Fri 27-May-2016,Sydney,North Melbourne,91,65,S.C.G.
Sat 28-May-2016,Brisbane Lions,Hawthorn,87,135,Gabba
Sat 28-May-2016,Melbourne,Port Adelaide,76,121,Traeger Park
Sat 28-May-2016,St Kilda,Fremantle,101,67,Docklands
Sat 28-May-2016,Essendon,Richmond,67,105,M.C.G.
Sat 28-May-2016,Adelaide,Greater Western Sydney,107,85,Adelaide Oval
Sun 29-May-2016,Carlton,Geelong,104,85,Docklands
Sun 29-May-2016,Collingwood,Western Bulldogs,53,74,M.C.G.
Sun 29-May-2016,West Coast,Gold Coast,132,55,Subiaco
Fri 03-Jun-2016,North Melbourne,Richmond,124,54,Bellerive Oval
Sat 04-Jun-2016,Hawthorn,Melbourne,82,64,M.C.G.
Sat 04-Jun-2016,Carlton,Brisbane Lions,102,64,Docklands
Sat 04-Jun-2016,Geelong,Greater Western Sydney,98,88,Kardinia Park
Sat 04-Jun-2016,Gold Coast,Sydney,41,79,Carrara
Sat 04-Jun-2016,Fremantle,Essendon,126,47,Subiaco
Sun 05-Jun-2016,Collingwood,Port Adelaide,58,125,M.C.G.
Sun 05-Jun-2016,Western Bulldogs,West Coast,83,75,Docklands
Sun 05-Jun-2016,Adelaide,St Kilda,133,45,Adelaide Oval
Fri 10-Jun-2016,Essendon,Hawthorn,43,151,Docklands
Sat 11-Jun-2016,Port Adelaide,Western Bulldogs,97,100,Adelaide Oval
Sat 11-Jun-2016,Brisbane Lions,Fremantle,64,147,Gabba
Sat 11-Jun-2016,Geelong,North Melbourne,105,74,Docklands
Sat 11-Jun-2016,West Coast,Adelaide,76,105,Subiaco
Sun 12-Jun-2016,St Kilda,Carlton,110,78,Docklands
Sun 12-Jun-2016,Richmond,Gold Coast,114,97,M.C.G.
Sun 12-Jun-2016,Greater Western Sydney,Sydney,105,63,Sydney Showground
Mon 13-Jun-2016,Melbourne,Collingwood,104,58,M.C.G.
Fri 17-Jun-2016,North Melbourne,Hawthorn,84,93,Docklands
Sat 18-Jun-2016,Brisbane Lions,West Coast,82,131,Gabba
Sat 18-Jun-2016,Fremantle,Port Adelaide,86,69,Subiaco
