Date,Home Team,Away Team,Home Score,Away Score,Venue
Sun 22-May-2022,Greater Western Sydney,West Coast,138,86,Sydney Showground
Sun 22-May-2022,Hawthorn,Brisbane Lions,117,112,York Park
Sun 22-May-2022,Fremantle,Collingwood,44,80,Perth Stadium
Fri 27-May-2022,Sydney,Richmond,106,100,S.C.G.
Sat 28-May-2022,Geelong,Adelaide,97,55,Kardinia Park
Sat 28-May-2022,Brisbane Lions,Greater Western Sydney,110,96,Gabba
Sat 28-May-2022,Melbourne,Fremantle,56,94,M.C.G.
Sat 28-May-2022,West Coast,Western Bulldogs,60,161,Perth Stadium
Sat 28-May-2022,Gold Coast,Hawthorn,121,54,Marrara Oval
Sun 29-May-2022,St Kilda,North Melbourne,103,50,Docklands
Sun 29-May-2022,Collingwood,Carlton,79,75,M.C.G.
Sun 29-May-2022,Port Adelaide,Essendon,66,50,Adelaide Oval
Fri 03-Jun-2022,Western Bulldogs,Geelong,70,83,Docklands
Sat 04-Jun-2022,Adelaide,West Coast,88,57,Adelaide Oval
Sat 04-Jun-2022,Gold Coast,North Melbourne,109,47,Marrara Oval
Sat 04-Jun-2022,Melbourne,Sydney,61,73,M.C.G.
Sun 05-Jun-2022,Hawthorn,Collingwood,68,72,M.C.G.
Sun 05-Jun-2022,Fremantle,Brisbane Lions,99,85,Perth Stadium
Thu 09-Jun-2022,Richmond,Port Adelaide,77,65,M.C.G.
Fri 10-Jun-2022,Essendon,Carlton,54,80,M.C.G.
Sat 11-Jun-2022,Fremantle,Hawthorn,95,82,Perth Stadium
Sat 11-Jun-2022,Brisbane Lions,St Kilda,78,57,Gabba
Sun 12-Jun-2022,North Melbourne,Greater Western Sydney,53,102,Docklands
Mon 13-Jun-2022,Collingwood,Melbourne,82,56,M.C.G.
Thu 16-Jun-2022,Richmond,Carlton,81,66,M.C.G.
Fri 17-Jun-2022,St Kilda,Essendon,72,107,Docklands
Sat 18-Jun-2022,Port Adelaide,Sydney,82,59,Adelaide Oval
Sat 18-Jun-2022,West Coast,Geelong,63,81,Perth Stadium
Sat 18-Jun-2022,Greater Western Sydney,Western Bulldogs,105,125,Sydney Showground
Sun 19-Jun-2022,Gold Coast,Adelaide,116,73,Carrara
Thu 23-Jun-2022,Melbourne,Brisbane Lions,117,53,M.C.G.
Fri 24-Jun-2022,Western Bulldogs,Hawthorn,125,83,Docklands
Fri 24-Jun-2022,West Coast,Essendon,107,97,Perth Stadium
Sat 25-Jun-2022,Carlton,Fremantle,81,50,Docklands
Sat 25-Jun-2022,Geelong,Richmond,89,86,M.C.G.
Sat 25-Jun-2022,Sydney,St Kilda,83,32,S.C.G.
Sun 26-Jun-2022,North Melbourne,Adelaide,58,115,Bellerive Oval
Sun 26-Jun-2022,Collingwood,Greater Western Sydney,88,77,M.C.G.
Sun 26-Jun-2022,Port Adelaide,Gold Coast,93,91,Adelaide Oval
Thu 30-Jun-2022,Brisbane Lions,Western Bulldogs,108,67,Gabba
Fri 01-Jul-2022,Carlton,St Kilda,78,93,Docklands
Sat 02-Jul-2022,Essendon,Sydney,95,86,M.C.G.
Sat 02-Jul-2022,Adelaide,Melbourne,65,94,Adelaide Oval
Sat 02-Jul-2022,Gold Coast,Collingwood,62,67,Carrara
Sat 02-Jul-2022,Geelong,North Melbourne,144,32,Kardinia Park
Sun 03-Jul-2022,Richmond,West Coast,128,93,M.C.G.
Sun 03-Jul-2022,Greater Western Sydney,Hawthorn,72,50,Sydney Showground
Sun 03-Jul-2022,Fremantle,Port Adelaide,99,91,Perth Stadium
Thu 07-Jul-2022,Geelong,Melbourne,91,63,Kardinia Park
Fri 08-Jul-2022,Sydney,Western Bulldogs,120,67,S.C.G.
Sat 09-Jul-2022,Collingwood,North Melbourne,88,81,M.C.G.
Sat 09-Jul-2022,Gold Coast,Richmond,94,92,Carrara
