team,year,total_disposals,total_goals,total_behinds,total_tackles,total_clearances,total_inside_50s,total_marks,total_contested_marks,total_hitouts,avg_disposal_per_player,avg_goals_per_player,avg_tackles_per_player,players_20plus_goals,players_30plus_goals,players_40plus_goals,players_300plus_disposals,players_400plus_disposals,players_500plus_disposals,players_100plus_tackles,total_players_used,players_with_10plus_games,players_with_15plus_games,players_with_20plus_games,total_brownlow_votes,players_with_brownlow_votes,top_brownlow_vote_getter,goal_accuracy,total_contested_poss,total_uncontested_poss,contested_poss_ratio,total_clangers,free_kick_differential
Adelaide,2024,8300,279,167,1461,872,1132,2023,227,1050,212.82051282051282,7.153846153846154,37.46153846153846,5,3,1,11,6,3,2,39,24,21,12,52,9,18,62.5560538116592,3150,4921,37.95180722891566,1334,1
Brisbane Lions,2024,9757,365,277,1473,1091,1526,2983,293,959,263.7027027027027,9.864864864864865,39.810810810810814,8,5,2,15,8,6,1,37,24,22,18,82,11,22,56.85358255451713,3606,5989,36.95808137747258,1432,55
Carlton,2024,8620,327,200,1521,950,1241,2193,252,784,232.97297297297297,8.837837837837839,41.108108108108105,3,3,2,10,6,5,3,37,27,23,13,87,12,45,62.04933586337761,3311,5149,38.4106728538283,1290,27
Collingwood,2024,7883,288,209,1472,859,1143,1867,212,956,213.05405405405406,7.783783783783784,39.78378378378378,4,1,0,9,6,2,1,37,24,19,14,68,9,38,57.947686116700204,3001,4600,38.06926297095015,1421,4
Essendon,2024,8748,275,187,1374,817,1280,2274,215,891,249.94285714285715,7.857142857142857,39.25714285714286,2,2,2,11,6,4,2,35,27,19,14,67,12,18,59.523809523809526,2968,5554,33.92775491540924,1265,62
Fremantle,2024,8445,286,216,1337,916,1174,2141,181,865,234.58333333333334,7.944444444444445,37.138888888888886,6,2,1,12,7,5,4,36,25,21,16,87,12,28,56.97211155378486,2920,5407,34.57667258732978,1122,30
Geelong,2024,8760,353,210,1591,976,1364,2201,244,941,250.28571428571428,10.085714285714285,45.457142857142856,7,3,2,14,7,2,3,35,28,21,15,68,13,16,62.699822380106575,3391,5075,38.710045662100455,1474,-7
Gold Coast,2024,7987,281,192,1358,818,1289,1949,213,967,210.18421052631578,7.394736842105263,35.73684210526316,3,1,1,7,4,3,1,38,24,21,13,64,9,25,59.40803382663847,3020,4825,37.811443595843244,1276,61
Greater Western Sydney,2024,9313,330,186,1674,936,1265,2207,265,949,273.9117647058824,9.705882352941176,49.23529411764706,5,3,2,15,7,4,4,34,26,22,15,85,14,27,63.95348837209303,3410,5667,36.615483732417054,1481,-47
Hawthorn,2024,8999,331,229,1509,918,1348,2276,211,964,264.6764705882353,9.735294117647058,44.38235294117647,8,2,0,16,10,4,3,34,27,22,17,82,14,24,59.10714285714286,3292,5593,36.581842426936326,1363,0
Melbourne,2024,7953,259,188,1337,785,1127,2167,241,847,220.91666666666666,7.194444444444445,37.138888888888886,3,3,1,12,6,0,2,36,25,22,14,67,12,16,57.94183445190156,3006,4771,37.797057714070164,1272,-22
North Melbourne,2024,8134,244,119,1353,848,1041,2034,205,921,208.56410256410257,6.256410256410256,34.69230769230769,3,2,1,12,7,2,1,39,26,21,11,42,8,18,67.21763085399449,2976,4953,36.587164986476516,1268,-25
Port Adelaide,2024,8958,310,282,1683,975,1418,2464,259,1065,263.47058823529414,9.117647058823529,49.5,6,2,1,12,10,6,4,34,27,23,18,84,9,29,52.36486486486487,3371,5294,37.631167671355215,1417,-29
Richmond,2024,7779,211,177,1162,763,1101,1962,190,893,185.21428571428572,5.023809523809524,27.666666666666668,2,1,0,8,3,1,1,42,25,17,10,19,8,5,54.38144329896907,2803,4774,36.03290911428204,1421,-85
St Kilda,2024,8381,254,170,1373,778,1126,2406,228,680,220.55263157894737,6.684210526315789,36.13157894736842,3,2,0,10,8,3,1,38,28,21,10,64,13,16,59.905660377358494,3009,5191,35.902636916835704,1291,2
Sydney,2024,9257,364,247,1517,941,1389,2484,206,1039,298.61290322580646,11.741935483870968,48.935483870967744,7,6,2,14,9,6,3,31,25,24,21,103,12,28,59.57446808510638,3365,5660,36.35086961218537,1458,14
West Coast,2024,7264,229,180,1287,807,1059,1939,237,703,181.6,5.725,32.175,4,1,1,11,3,0,1,40,25,20,12,30,6,8,55.99022004889975,2819,4285,38.80781938325991,1156,-21
Western Bulldogs,2024,8902,321,241,1426,958,1357,2340,267,820,247.27777777777777,8.916666666666666,39.611111111111114,6,4,1,10,7,3,3,36,26,21,15,91,13,26,57.11743772241993,3262,5544,36.64345090990789,1284,-6
