team,year,total_disposals,total_goals,total_behinds,total_tackles,total_clearances,total_inside_50s,total_marks,total_contested_marks,total_hitouts,avg_disposal_per_player,avg_goals_per_player,avg_tackles_per_player,players_20plus_goals,players_30plus_goals,players_40plus_goals,players_300plus_disposals,players_400plus_disposals,players_500plus_disposals,players_100plus_tackles,total_players_used,players_with_10plus_games,players_with_15plus_games,players_with_20plus_games,total_brownlow_votes,players_with_brownlow_votes,top_brownlow_vote_getter,goal_accuracy,total_contested_poss,total_uncontested_poss,contested_poss_ratio,total_clangers,free_kick_differential
Adelaide,2021,7781,230,197,1245,768,1095,1757,261,749,210.2972972972973,6.216216216216216,33.648648648648646,3,1,1,9,6,3,2,37,27,22,10,51,8,16,53.86416861826698,3064,4556,39.3779719830356,1257,16
Brisbane Lions,2021,8439,333,222,1426,946,1357,2228,296,772,263.71875,10.40625,44.5625,6,4,2,12,8,4,2,32,27,23,14,80,13,23,60.0,3422,4841,40.549828178694156,1403,-19
Carlton,2021,7673,250,201,1175,749,1106,2098,264,705,196.74358974358975,6.410256410256411,30.128205128205128,2,1,1,7,4,1,1,39,29,15,5,52,8,30,55.432372505543235,2888,4609,37.63847256614101,1259,20
Collingwood,2021,8335,225,166,1191,713,1024,2360,265,841,213.71794871794873,5.769230769230769,30.53846153846154,4,1,0,13,7,2,0,39,25,18,11,45,7,11,57.54475703324808,2886,5349,34.625074985003,1309,-16
Essendon,2021,8434,291,200,1327,792,1209,2125,257,695,227.94594594594594,7.864864864864865,35.86486486486486,5,3,1,11,5,2,1,37,25,22,13,78,13,26,59.26680244399185,2982,5327,35.35688878349538,1277,-19
Fremantle,2021,7826,219,220,1076,795,1122,1980,235,803,200.66666666666666,5.615384615384615,27.58974358974359,3,1,0,10,6,3,0,39,27,19,7,61,10,20,49.88610478359909,2945,4837,37.63097367748531,1235,-13
Geelong,2021,9536,295,213,1410,978,1310,2533,270,873,272.45714285714286,8.428571428571429,40.285714285714285,3,3,1,16,7,4,2,35,29,24,17,82,17,18,58.07086614173228,3436,5999,36.031879194630875,1325,40
Gold Coast,2021,7849,201,180,1366,753,1071,2309,231,580,206.55263157894737,5.2894736842105265,35.94736842105263,3,1,1,7,6,1,2,38,26,20,9,44,10,17,52.75590551181102,2900,4850,36.947381832080524,1280,-16
Greater Western Sydney,2021,8694,279,190,1436,891,1192,2175,265,742,222.92307692307693,7.153846153846154,36.82051282051282,5,2,1,12,7,5,2,39,27,19,9,71,9,15,59.488272921108745,3344,5241,38.463308028525425,1372,24
Hawthorn,2021,8343,239,145,1326,758,1072,2053,257,797,219.55263157894737,6.2894736842105265,34.89473684210526,4,1,0,12,7,1,1,38,26,19,11,53,8,25,62.239583333333336,2937,5313,35.20316432937792,1200,-2
Melbourne,2021,9213,323,242,1554,933,1405,2234,309,1103,270.97058823529414,9.5,45.705882352941174,5,3,2,15,8,4,4,34,24,22,18,96,11,31,57.16814159292035,3715,5359,40.32345598610659,1493,-2
North Melbourne,2021,7835,210,154,1160,726,1041,2195,201,856,206.18421052631578,5.526315789473684,30.526315789473685,3,2,1,9,5,3,0,38,25,19,12,39,10,15,57.692307692307686,2708,4981,34.56285896617741,1319,19
Port Adelaide,2021,9178,294,213,1486,845,1288,2265,324,862,262.22857142857146,8.4,42.457142857142856,6,2,1,12,7,3,3,35,28,20,15,91,10,36,57.98816568047337,3456,5491,37.655262584441054,1422,18
Richmond,2021,7857,253,183,1237,661,1130,1983,214,614,196.425,6.325,30.925,3,2,1,6,3,1,1,40,25,18,8,46,14,11,58.02752293577982,2852,4888,36.29884179712358,1351,-85
St Kilda,2021,8126,237,184,1365,771,1120,2127,243,842,208.35897435897436,6.076923076923077,35.0,3,2,0,12,5,2,2,39,26,17,11,68,13,26,56.294536817102134,2935,5016,36.11863155303963,1283,-32
Sydney,2021,8562,303,195,1395,817,1243,2166,260,776,231.40540540540542,8.18918918918919,37.7027027027027,4,3,2,13,6,4,3,37,25,21,15,85,15,18,60.8433734939759,3182,5231,37.1642139686989,1290,-14
West Coast,2021,7785,257,168,1070,798,1090,2363,307,888,210.40540540540542,6.945945945945946,28.91891891891892,5,2,2,10,4,2,0,37,25,19,8,61,13,13,60.47058823529412,2918,4835,37.48233782915864,1165,12
Western Bulldogs,2021,9752,339,238,1511,1034,1423,2209,304,733,237.85365853658536,8.268292682926829,36.853658536585364,4,3,2,11,8,7,3,41,26,21,15,85,11,33,58.752166377816295,3727,5951,38.21780147662018,1394,77
