team,year,jumper_number,player_name,games,kicks,marks,handballs,disposals,disposal_avg,goals,behinds,hitouts,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assists
Adelaide,2019,2,"Crouch, Brad",22,338,65,327,665,30.23,11,12,1,111,41,86,117,82,23,14,14,243,389,3,7,14,4,6
Adelaide,2019,29,"Laird, Rory",22,322,125,301,623,28.32,0,1,0,47,111,47,17,41,21,7,2,159,428,5,0,30,5,7
Adelaide,2019,5,"Crouch, Matt",19,270,77,350,620,32.63,7,4,0,65,44,61,93,59,15,15,8,216,398,2,3,13,4,9
Adelaide,2019,9,"Sloane, Rory",22,266,97,275,541,24.59,11,9,0,129,36,84,131,81,38,24,7,288,262,8,15,56,2,5
Adelaide,2019,33,"Smith, Brodie",22,326,109,178,504,22.91,10,12,0,55,92,85,27,74,10,17,1,156,309,7,4,45,17,10
Adelaide,2019,21,"Atkins, Rory",20,296,115,135,431,21.55,6,9,0,31,49,77,29,59,4,16,1,104,327,1,2,21,15,8
Adelaide,2019,8,"Kelly, Jake",22,214,114,142,356,16.18,0,1,0,60,52,19,7,42,13,16,0,112,240,14,0,106,0,3
Adelaide,2019,27,"Lynch, Tom",16,213,116,113,326,20.38,17,13,0,29,6,56,11,36,9,9,0,109,218,15,13,15,1,12
Adelaide,2019,14,"Mackay, David",18,185,57,125,310,17.22,3,1,0,50,59,48,18,30,9,7,0,87,230,0,0,31,7,6
Adelaide,2019,30,"Milera, Wayne",17,184,93,125,309,18.18,6,7,0,52,41,34,24,41,9,10,0,82,221,11,7,37,6,4
Adelaide,2019,42,"Keath, Alex",18,188,112,106,294,16.33,1,0,4,30,57,20,5,40,14,16,6,125,169,20,0,94,0,0
Adelaide,2019,43,"OBrien, Reilly",18,126,60,150,276,15.33,2,4,597,77,23,39,77,65,33,32,3,185,100,24,4,49,0,2
Adelaide,2019,12,"Talia, Daniel",22,171,120,97,268,12.18,0,0,0,48,67,7,2,27,17,11,0,96,166,19,0,161,0,0
Adelaide,2019,13,"Walker, Taylor",22,175,112,89,264,12.0,43,22,0,32,2,66,2,62,23,28,3,131,141,31,42,38,1,15
Adelaide,2019,18,"Betts, Eddie",21,155,49,96,251,11.95,37,21,0,52,3,29,23,48,13,12,5,138,104,15,29,11,1,18
Adelaide,2019,11,"Seedsman, Paul",13,139,54,109,248,19.08,6,4,0,28,20,47,19,16,3,3,0,54,193,4,3,9,26,4
Adelaide,2019,1,"Greenwood, Hugh",14,119,34,120,239,17.07,11,5,0,84,14,20,58,26,13,9,0,159,89,10,8,18,0,0
Adelaide,2019,6,"Gibbs, Bryce",12,154,48,83,237,19.75,2,1,0,47,21,29,28,25,10,5,0,66,167,2,1,7,0,2
Adelaide,2019,28,"Ellis-Yolmen, Cam",10,100,29,135,235,23.5,2,2,0,55,13,23,49,27,8,8,2,123,115,1,2,23,1,7
Adelaide,2019,3,"Knight, Riley",15,114,73,121,235,15.67,9,5,0,59,10,30,17,32,8,10,0,73,157,1,9,17,1,5
Adelaide,2019,16,"Brown, Luke",15,153,57,74,227,15.13,1,2,0,24,59,11,2,17,10,5,0,68,125,2,0,30,8,1
Adelaide,2019,44,"Murphy, Lachlan",21,133,58,92,225,10.71,19,15,0,68,4,50,6,34,33,11,0,109,122,5,14,19,3,13
Adelaide,2019,15,"Hartigan, Kyle",19,119,79,76,195,10.26,0,0,0,18,40,9,4,35,12,10,0,54,141,7,0,87,0,0
Adelaide,2019,26,"Douglas, Richard",9,84,27,52,136,15.11,2,3,0,22,8,23,11,25,5,4,0,43,92,3,4,9,0,6
Adelaide,2019,4,"Jenkins, Josh",11,100,56,36,136,12.36,22,17,68,18,6,21,8,20,15,6,0,58,77,14,20,14,2,3
Adelaide,2019,7,"Gallucci, Jordan",10,90,36,32,122,12.2,3,2,0,15,5,31,10,14,6,1,0,37,85,2,6,12,2,8
Adelaide,2019,20,"Jones, Chayce",8,48,16,41,89,11.13,3,8,0,18,4,20,12,10,8,5,0,44,45,3,6,8,1,3
Adelaide,2019,34,"Himmelberg, Elliott",7,38,24,29,67,9.57,8,4,43,23,2,14,8,15,7,8,0,38,29,4,6,6,0,2
Adelaide,2019,24,"Jacobs, Sam",5,30,12,27,57,11.4,0,3,178,13,1,12,14,11,5,5,0,35,24,6,2,12,0,1
Adelaide,2019,22,"Otten, Andy",3,27,15,17,44,14.67,0,0,6,7,6,2,2,2,6,1,0,17,29,1,1,9,0,0
Adelaide,2019,32,"Fogarty, Darcy",4,28,22,14,42,10.5,9,1,1,2,0,11,0,3,1,2,1,12,30,5,6,5,1,2
Adelaide,2019,10,"Poholke, Myles",2,10,7,15,25,12.5,0,1,0,5,0,3,2,3,0,0,0,9,16,0,1,2,0,1
Adelaide,2019,17,"Stengle, Tyson",2,14,5,3,17,8.5,5,1,0,7,0,3,0,3,3,3,0,6,11,0,2,0,1,2
Adelaide,2019,31,"Wilson, Patrick",1,9,2,6,15,15.0,0,0,0,4,1,1,2,5,1,1,0,5,11,0,0,0,0,0
Adelaide,2019,39,"Doedee, Tom",1,5,3,3,8,8.0,0,0,0,1,2,0,0,0,0,0,0,3,5,1,0,2,0,0
Adelaide,2019,40,"Davis, Ben",1,3,2,4,7,7.0,0,0,0,1,1,1,0,1,0,0,0,3,4,0,1,0,0,0
Brisbane Lions,2019,9,"Neale, Lachie",24,301,98,441,742,30.92,12,7,0,90,40,84,189,71,36,23,26,379,362,2,5,18,13,12
Brisbane Lions,2019,17,"Lyons, Jarryd",24,338,72,234,572,23.83,14,10,0,143,27,106,139,77,28,18,13,285,273,4,3,25,3,19
Brisbane Lions,2019,10,"Rich, Daniel",24,432,137,108,540,22.5,4,4,0,48,155,78,32,61,15,24,0,136,317,9,2,59,3,6
Brisbane Lions,2019,15,"Zorko, Dayne",24,404,94,132,536,22.33,23,19,0,160,28,162,98,98,39,31,19,242,296,1,12,36,13,22
Brisbane Lions,2019,6,"McCluggage, Hugh",23,320,90,201,521,22.65,23,14,0,84,40,97,77,72,23,16,5,196,332,0,11,23,7,11
Brisbane Lions,2019,5,"Robinson, Mitch",23,347,121,148,495,21.52,17,12,0,99,52,111,59,86,36,31,5,181,315,10,11,53,1,8
Brisbane Lions,2019,29,"Witherden, Alex",23,332,127,89,421,18.3,2,3,0,38,111,38,15,60,13,17,0,91,255,8,2,47,3,0
Brisbane Lions,2019,12,"Martin, Stefan",24,226,60,168,394,16.42,5,7,645,59,25,55,118,76,50,33,0,254,131,17,8,59,0,11
Brisbane Lions,2019,7,"Berry, Jarrod",20,211,89,181,392,19.6,8,10,0,76,24,72,58,53,38,17,1,163,241,3,9,27,3,13
Brisbane Lions,2019,2,"Hodge, Luke",22,278,128,94,372,16.91,0,2,0,39,90,34,9,53,14,24,0,88,236,7,0,63,2,2
Brisbane Lions,2019,27,"Gardiner, Darcy",24,239,112,87,326,13.58,1,0,0,53,79,25,7,62,22,26,0,125,201,10,1,119,0,4
Brisbane Lions,2019,11,"McCarthy, Lincoln",24,179,70,135,314,13.08,20,13,0,94,5,63,32,74,14,32,2,163,171,14,21,28,12,14
Brisbane Lions,2019,23,"Cameron, Charlie",24,217,81,78,295,12.29,57,32,0,49,5,58,16,47,25,23,11,120,168,8,40,18,11,15
Brisbane Lions,2019,31,"Andrews, Harris",21,163,116,106,269,12.81,0,0,0,33,52,21,1,40,11,17,2,123,148,33,0,225,2,2
Brisbane Lions,2019,25,"McStay, Daniel",24,120,100,122,242,10.08,21,16,13,49,2,36,8,27,9,8,0,125,118,42,32,40,0,9
Brisbane Lions,2019,30,"Hipwood, Eric",23,182,107,51,233,10.13,35,29,1,42,5,49,1,75,12,32,6,86,144,28,47,34,3,9
Brisbane Lions,2019,16,"Rayner, Cam",24,139,59,90,229,9.54,20,25,0,51,11,44,15,49,25,17,0,111,125,9,16,17,1,8
Brisbane Lions,2019,43,"Answerth, Noah",19,156,70,68,224,11.79,2,0,0,55,34,28,15,32,12,10,0,82,145,6,0,52,0,2
Brisbane Lions,2019,33,"Bailey, Zac",15,106,38,74,180,12.0,5,5,0,29,23,35,13,37,10,14,0,70,116,2,2,22,1,3
Brisbane Lions,2019,3,"Christensen, Allen",13,109,48,66,175,13.46,16,9,0,44,5,26,11,29,11,13,0,71,105,4,10,13,1,9
Brisbane Lions,2019,46,"McInerney, Oscar",21,76,55,97,173,8.24,10,7,336,56,12,17,34,41,16,20,0,127,53,36,17,72,0,4
Brisbane Lions,2019,36,"Mathieson, Rhys",9,69,23,68,137,15.22,4,3,0,28,8,22,23,32,6,16,0,65,76,2,2,12,0,1
Brisbane Lions,2019,14,"Walker, Josh",11,89,68,45,134,12.18,0,0,2,15,12,10,0,15,4,3,0,57,79,17,0,47,0,2
Brisbane Lions,2019,35,"Lester, Ryan",9,81,32,27,108,12.0,0,0,0,30,19,13,6,18,7,6,0,38,65,4,0,38,0,1
Brisbane Lions,2019,24,"Adams, Marcus",10,74,51,31,105,10.5,0,0,0,12,30,8,0,22,4,8,0,48,57,14,1,39,0,0
Brisbane Lions,2019,28,"Taylor, Lewis",5,52,21,30,82,16.4,3,5,0,12,9,10,5,10,5,1,0,27,56,0,3,4,0,0
Brisbane Lions,2019,18,"Robertson, Nick",5,41,21,26,67,13.4,0,0,0,15,13,5,3,12,2,3,0,20,48,0,0,18,0,0
Brisbane Lions,2019,26,"Cutler, Tom",3,40,15,25,65,21.67,1,2,0,6,9,11,9,7,3,3,0,25,37,1,2,5,0,1
Brisbane Lions,2019,4,"Bastinac, Ryan",3,26,16,8,34,11.33,2,0,0,4,4,5,1,7,1,3,0,9,26,0,0,4,0,0
Brisbane Lions,2019,22,"Hinge, Mitch",2,16,6,12,28,14.0,1,0,0,3,4,5,3,5,4,1,0,12,17,0,0,6,1,0
Brisbane Lions,2019,1,"Keays, Ben",2,15,7,12,27,13.5,0,2,0,6,4,6,4,6,1,4,0,14,14,0,2,1,0,3
Brisbane Lions,2019,19,"Allison, Jacob",2,18,6,6,24,12.0,1,0,0,1,3,7,1,7,2,3,0,11,15,1,0,2,0,0
Brisbane Lions,2019,44,"Smith, Archie",2,4,2,15,19,9.5,0,0,37,5,0,0,3,5,0,3,0,12,7,0,1,7,0,0
Brisbane Lions,2019,20,"Cox, Cedric",1,6,4,3,9,9.0,0,0,0,2,0,2,0,1,0,0,0,3,6,0,0,1,0,1
Brisbane Lions,2019,37,"Starcevich, Brandon",1,7,2,0,7,7.0,0,0,0,1,2,1,0,0,0,0,0,2,4,0,0,4,0,0
Carlton,2019,9,"Cripps, Patrick",20,212,62,348,560,28.0,13,6,0,123,23,62,170,86,48,39,26,340,225,17,5,29,9,6
