Date,Home Team,Away Team,Home Score,Away Score,Venue
Thu 16-Mar-2023,Richmond,Carlton,58,58,M.C.G.
Fri 17-Mar-2023,Geelong,Collingwood,103,125,M.C.G.
Sat 18-Mar-2023,North Melbourne,West Coast,87,82,Docklands
Sat 18-Mar-2023,Port Adelaide,Brisbane Lions,126,72,Adelaide Oval
Sat 18-Mar-2023,Melbourne,Western Bulldogs,115,65,M.C.G.
Sat 18-Mar-2023,Gold Coast,Sydney,61,110,Carrara
Sun 19-Mar-2023,Greater Western Sydney,Adelaide,106,90,Sydney Showground
Sun 19-Mar-2023,Hawthorn,Essendon,65,124,M.C.G.
Sun 19-Mar-2023,St Kilda,Fremantle,67,52,Docklands
Thu 23-Mar-2023,Carlton,Geelong,90,82,M.C.G.
Fri 24-Mar-2023,Brisbane Lions,Melbourne,93,82,Gabba
Sat 25-Mar-2023,Collingwood,Port Adelaide,135,64,M.C.G.
Sat 25-Mar-2023,Adelaide,Richmond,76,108,Adelaide Oval
Sat 25-Mar-2023,Western Bulldogs,St Kilda,41,92,Docklands
Sat 25-Mar-2023,Fremantle,North Melbourne,72,73,Perth Stadium
Sun 26-Mar-2023,Sydney,Hawthorn,118,37,S.C.G.
Sun 26-Mar-2023,Essendon,Gold Coast,108,80,Docklands
Sun 26-Mar-2023,West Coast,Greater Western Sydney,100,81,Perth Stadium
Thu 30-Mar-2023,Western Bulldogs,Brisbane Lions,67,53,Docklands
Fri 31-Mar-2023,Collingwood,Richmond,63,49,M.C.G.
Sat 01-Apr-2023,Hawthorn,North Melbourne,80,61,York Park
Sat 01-Apr-2023,Greater Western Sydney,Carlton,64,74,Sydney Showground
Sat 01-Apr-2023,St Kilda,Essendon,92,74,M.C.G.
Sat 01-Apr-2023,Port Adelaide,Adelaide,86,117,Adelaide Oval
Sun 02-Apr-2023,Gold Coast,Geelong,73,54,Carrara
Sun 02-Apr-2023,Melbourne,Sydney,134,84,M.C.G.
Sun 02-Apr-2023,Fremantle,West Coast,108,67,Perth Stadium
Thu 06-Apr-2023,Brisbane Lions,Collingwood,116,83,Gabba
Fri 07-Apr-2023,North Melbourne,Carlton,84,107,Docklands
Sat 08-Apr-2023,Adelaide,Fremantle,111,72,Adelaide Oval
Sat 08-Apr-2023,Richmond,Western Bulldogs,84,89,M.C.G.
Sat 08-Apr-2023,Sydney,Port Adelaide,64,66,S.C.G.
Sat 08-Apr-2023,St Kilda,Gold Coast,113,60,Docklands
Sun 09-Apr-2023,Essendon,Greater Western Sydney,88,75,Docklands
