Date,Home Team,Away Team,Home Score,Away Score,Venue
Sun 09-Apr-2023,West Coast,Melbourne,63,126,Perth Stadium
Mon 10-Apr-2023,Geelong,Hawthorn,127,45,M.C.G.
Thu 13-Apr-2023,Adelaide,Carlton,118,62,Adelaide Oval
Fri 14-Apr-2023,Fremantle,Gold Coast,100,90,Norwood Oval
Fri 14-Apr-2023,Richmond,Sydney,78,122,Adelaide Oval
Sat 15-Apr-2023,Brisbane Lions,North Melbourne,152,77,Summit Sports Park
Sat 15-Apr-2023,Essendon,Melbourne,104,77,Adelaide Oval
Sat 15-Apr-2023,Port Adelaide,Western Bulldogs,70,56,Adelaide Oval
Sun 16-Apr-2023,Geelong,West Coast,136,89,Adelaide Oval
Sun 16-Apr-2023,Greater Western Sydney,Hawthorn,77,75,Norwood Oval
Sun 16-Apr-2023,Collingwood,St Kilda,70,64,Adelaide Oval
Fri 21-Apr-2023,Fremantle,Western Bulldogs,69,118,Perth Stadium
Sat 22-Apr-2023,Port Adelaide,West Coast,109,69,Adelaide Oval
Sat 22-Apr-2023,Greater Western Sydney,Brisbane Lions,87,108,Manuka Oval
Sat 22-Apr-2023,Geelong,Sydney,130,37,Kardinia Park
Sun 23-Apr-2023,Hawthorn,Adelaide,76,79,York Park
Sun 23-Apr-2023,Carlton,St Kilda,60,82,Docklands
Sun 23-Apr-2023,Gold Coast,North Melbourne,97,54,Carrara
Mon 24-Apr-2023,Melbourne,Richmond,96,78,M.C.G.
Tue 25-Apr-2023,Collingwood,Essendon,90,77,M.C.G.
Fri 28-Apr-2023,St Kilda,Port Adelaide,76,83,Docklands
Sat 29-Apr-2023,Brisbane Lions,Fremantle,115,67,Gabba
Sat 29-Apr-2023,Sydney,Greater Western Sydney,106,107,S.C.G.
Sat 29-Apr-2023,Western Bulldogs,Hawthorn,94,65,Docklands
Sat 29-Apr-2023,Melbourne,North Melbourne,139,49,M.C.G.
Sat 29-Apr-2023,West Coast,Carlton,44,152,Perth Stadium
Sun 30-Apr-2023,Essendon,Geelong,104,132,M.C.G.
Sun 30-Apr-2023,Richmond,Gold Coast,48,72,Docklands
Sun 30-Apr-2023,Adelaide,Collingwood,58,59,Adelaide Oval
Fri 05-May-2023,Carlton,Brisbane Lions,74,100,Docklands
Sat 06-May-2023,Richmond,West Coast,104,58,M.C.G.
Sat 06-May-2023,Geelong,Adelaide,98,72,Kardinia Park
Sat 06-May-2023,Gold Coast,Melbourne,85,90,Carrara
Sat 06-May-2023,Fremantle,Hawthorn,117,48,Perth Stadium
Sat 06-May-2023,Greater Western Sydney,Western Bulldogs,71,86,Manuka Oval
Sun 07-May-2023,Port Adelaide,Essendon,92,87,Adelaide Oval
Sun 07-May-2023,Collingwood,Sydney,77,48,M.C.G.
Sun 07-May-2023,North Melbourne,St Kilda,34,64,Docklands
Fri 12-May-2023,Richmond,Geelong,102,78,M.C.G.
Fri 12-May-2023,West Coast,Gold Coast,43,113,Perth Stadium
Sat 13-May-2023,Sydney,Fremantle,86,103,S.C.G.
Sat 13-May-2023,North Melbourne,Port Adelaide,65,135,Bellerive Oval
Sat 13-May-2023,Hawthorn,Melbourne,49,103,M.C.G.
Sat 13-May-2023,Brisbane Lions,Essendon,87,45,Gabba
Sat 13-May-2023,Carlton,Western Bulldogs,59,79,Docklands
Sun 14-May-2023,Adelaide,St Kilda,121,69,Adelaide Oval
Sun 14-May-2023,Collingwood,Greater Western Sydney,120,55,M.C.G.
Fri 19-May-2023,Port Adelaide,Melbourne,80,76,Adelaide Oval
Sat 20-May-2023,North Melbourne,Sydney,90,93,Docklands
Sat 20-May-2023,Western Bulldogs,Adelaide,85,40,Eureka Stadium
Sat 20-May-2023,Fremantle,Geelong,106,77,Perth Stadium
Sat 20-May-2023,Brisbane Lions,Gold Coast,107,64,Gabba
Sat 20-May-2023,Essendon,Richmond,71,70,M.C.G.
Sun 21-May-2023,Hawthorn,West Coast,142,26,York Park
Sun 21-May-2023,Carlton,Collingwood,57,85,M.C.G.
Sun 21-May-2023,Greater Western Sydney,St Kilda,80,92,Sydney Showground
Fri 26-May-2023,Sydney,Carlton,77,51,S.C.G.
Sat 27-May-2023,St Kilda,Hawthorn,78,88,Docklands
Sat 27-May-2023,Melbourne,Fremantle,72,79,M.C.G.
Sat 27-May-2023,Geelong,Greater Western Sydney,74,81,Kardinia Park
Sat 27-May-2023,Gold Coast,Western Bulldogs,84,77,Marrara Oval
Sat 27-May-2023,West Coast,Essendon,46,96,Perth Stadium
Sun 28-May-2023,Richmond,Port Adelaide,67,77,M.C.G.
Sun 28-May-2023,Collingwood,North Melbourne,105,70,Docklands
Sun 28-May-2023,Adelaide,Brisbane Lions,95,78,Adelaide Oval
Fri 02-Jun-2023,Melbourne,Carlton,61,44,M.C.G.
Sat 03-Jun-2023,Port Adelaide,Hawthorn,151,96,Adelaide Oval
Sat 03-Jun-2023,West Coast,Collingwood,57,120,Perth Stadium
Sat 03-Jun-2023,Western Bulldogs,Geelong,75,97,Docklands
Sat 03-Jun-2023,Gold Coast,Adelaide,112,87,Marrara Oval
Sun 04-Jun-2023,Greater Western Sydney,Richmond,104,110,Sydney Showground
Sun 04-Jun-2023,Essendon,North Melbourne,105,99,Docklands
Thu 08-Jun-2023,Sydney,St Kilda,66,80,S.C.G.
Fri 09-Jun-2023,Western Bulldogs,Port Adelaide,85,107,Docklands
Sat 10-Jun-2023,Hawthorn,Brisbane Lions,98,73,M.C.G.
Sat 10-Jun-2023,Adelaide,West Coast,174,52,Adelaide Oval
Sat 10-Jun-2023,Fremantle,Richmond,70,85,Perth Stadium
Sun 11-Jun-2023,North Melbourne,Greater Western Sydney,75,103,Bellerive Oval
Sun 11-Jun-2023,Carlton,Essendon,52,86,M.C.G.
Mon 12-Jun-2023,Melbourne,Collingwood,66,62,M.C.G.
Thu 15-Jun-2023,Port Adelaide,Geelong,110,72,Adelaide Oval
Fri 16-Jun-2023,Brisbane Lions,Sydney,97,81,Gabba
Sat 17-Jun-2023,Greater Western Sydney,Fremantle,106,36,Sydney Showground
Sat 17-Jun-2023,Richmond,St Kilda,90,70,M.C.G.
Sun 18-Jun-2023,Carlton,Gold Coast,120,61,M.C.G.
Sun 18-Jun-2023,North Melbourne,Western Bulldogs,84,105,Docklands
Thu 22-Jun-2023,Geelong,Melbourne,78,63,Kardinia Park
Fri 23-Jun-2023,St Kilda,Brisbane Lions,56,84,Docklands
Sat 24-Jun-2023,Sydney,West Coast,205,34,S.C.G.
Sat 24-Jun-2023,Fremantle,Essendon,93,61,Perth Stadium
Sun 25-Jun-2023,Collingwood,Adelaide,82,80,M.C.G.
Sun 25-Jun-2023,Gold Coast,Hawthorn,101,34,Carrara
Thu 29-Jun-2023,Brisbane Lions,Richmond,134,53,Gabba
Fri 30-Jun-2023,Sydney,Geelong,54,54,S.C.G.
Sat 01-Jul-2023,Adelaide,North Melbourne,138,72,Adelaide Oval
Sat 01-Jul-2023,Western Bulldogs,Fremantle,102,73,Docklands
Sat 01-Jul-2023,Gold Coast,Collingwood,42,120,Carrara
Sat 01-Jul-2023,Essendon,Port Adelaide,74,78,M.C.G.
Sun 02-Jul-2023,Hawthorn,Carlton,52,112,M.C.G.
Sun 02-Jul-2023,Melbourne,Greater Western Sydney,45,47,Traeger Park
Sun 02-Jul-2023,West Coast,St Kilda,77,85,Perth Stadium
Thu 06-Jul-2023,Richmond,Sydney,88,75,M.C.G.
Fri 07-Jul-2023,Western Bulldogs,Collingwood,77,89,Docklands
Sat 08-Jul-2023,Brisbane Lions,West Coast,116,35,Gabba
Sat 08-Jul-2023,Greater Western Sydney,Hawthorn,85,72,Sydney Showground
Sat 08-Jul-2023,St Kilda,Melbourne,58,79,Docklands
Sat 08-Jul-2023,Port Adelaide,Gold Coast,106,73,Adelaide Oval
Sun 09-Jul-2023,Geelong,North Melbourne,125,63,Kardinia Park
Sun 09-Jul-2023,Essendon,Adelaide,115,97,Docklands
Sun 09-Jul-2023,Fremantle,Carlton,45,98,Perth Stadium
Thu 13-Jul-2023,Sydney,Western Bulldogs,78,76,S.C.G.
Fri 14-Jul-2023,Melbourne,Brisbane Lions,105,104,M.C.G.
Sat 15-Jul-2023,Collingwood,Fremantle,113,67,M.C.G.
Sat 15-Jul-2023,Gold Coast,St Kilda,77,51,Carrara
Sat 15-Jul-2023,Carlton,Port Adelaide,122,72,Docklands
Sat 15-Jul-2023,Geelong,Essendon,122,45,Kardinia Park
Sat 15-Jul-2023,Adelaide,Greater Western Sydney,57,71,Adelaide Oval
Sun 16-Jul-2023,North Melbourne,Hawthorn,40,88,Docklands
Sun 16-Jul-2023,West Coast,Richmond,60,98,Perth Stadium
Fri 21-Jul-2023,Essendon,Western Bulldogs,49,90,Docklands
Sat 22-Jul-2023,Richmond,Hawthorn,96,95,M.C.G.
Sat 22-Jul-2023,Carlton,West Coast,140,69,Docklands
Sat 22-Jul-2023,Brisbane Lions,Geelong,64,53,Gabba
Sat 22-Jul-2023,Fremantle,Sydney,76,105,Perth Stadium
Sat 22-Jul-2023,Port Adelaide,Collingwood,83,85,Adelaide Oval
Sun 23-Jul-2023,Greater Western Sydney,Gold Coast,103,63,Manuka Oval
Sun 23-Jul-2023,Melbourne,Adelaide,97,93,M.C.G.
Sun 23-Jul-2023,St Kilda,North Melbourne,69,61,Docklands
Fri 28-Jul-2023,Collingwood,Carlton,76,93,M.C.G.
Sat 29-Jul-2023,Western Bulldogs,Greater Western Sydney,73,78,Eureka Stadium
Sat 29-Jul-2023,Geelong,Fremantle,64,71,Kardinia Park
Sat 29-Jul-2023,Gold Coast,Brisbane Lions,96,55,Carrara
Sat 29-Jul-2023,Essendon,Sydney,99,101,Docklands
Sat 29-Jul-2023,Adelaide,Port Adelaide,112,65,Adelaide Oval
Sun 30-Jul-2023,Hawthorn,St Kilda,93,122,Docklands
Sun 30-Jul-2023,Richmond,Melbourne,98,130,M.C.G.
Sun 30-Jul-2023,West Coast,North Melbourne,72,67,Perth Stadium
Fri 04-Aug-2023,Western Bulldogs,Richmond,126,71,Docklands
Sat 05-Aug-2023,Essendon,West Coast,73,72,Docklands
Sat 05-Aug-2023,Adelaide,Gold Coast,89,61,Adelaide Oval
Sat 05-Aug-2023,Hawthorn,Collingwood,105,73,M.C.G.
Sat 05-Aug-2023,Geelong,Port Adelaide,97,85,Kardinia Park
Sat 05-Aug-2023,Greater Western Sydney,Sydney,85,96,Sydney Showground
Sun 06-Aug-2023,North Melbourne,Melbourne,71,103,Bellerive Oval
Sun 06-Aug-2023,St Kilda,Carlton,54,73,Docklands
Sun 06-Aug-2023,Fremantle,Brisbane Lions,74,77,Perth Stadium
Fri 11-Aug-2023,Collingwood,Geelong,109,101,M.C.G.
Sat 12-Aug-2023,North Melbourne,Essendon,77,86,Docklands
Sat 12-Aug-2023,Sydney,Gold Coast,114,90,S.C.G.
Sat 12-Aug-2023,Brisbane Lions,Adelaide,99,93,Gabba
Sat 12-Aug-2023,Carlton,Melbourne,60,56,M.C.G.
Sat 12-Aug-2023,West Coast,Fremantle,33,134,Perth Stadium
Sun 13-Aug-2023,Hawthorn,Western Bulldogs,67,64,York Park
Sun 13-Aug-2023,St Kilda,Richmond,93,57,Docklands
Sun 13-Aug-2023,Port Adelaide,Greater Western Sydney,136,85,Adelaide Oval
Fri 18-Aug-2023,Collingwood,Brisbane Lions,100,124,Docklands
Sat 19-Aug-2023,Richmond,North Melbourne,101,72,M.C.G.
Sat 19-Aug-2023,Gold Coast,Carlton,87,91,Carrara
Sat 19-Aug-2023,Greater Western Sydney,Essendon,162,36,Sydney Showground
Sat 19-Aug-2023,St Kilda,Geelong,88,55,Docklands
Sat 19-Aug-2023,Adelaide,Sydney,73,74,Adelaide Oval
Sun 20-Aug-2023,Western Bulldogs,West Coast,85,92,Docklands
Sun 20-Aug-2023,Melbourne,Hawthorn,87,60,M.C.G.
Sun 20-Aug-2023,Fremantle,Port Adelaide,58,74,Perth Stadium
Fri 25-Aug-2023,Essendon,Collingwood,31,101,M.C.G.
Sat 26-Aug-2023,Hawthorn,Fremantle,56,93,M.C.G.
Sat 26-Aug-2023,North Melbourne,Gold Coast,132,97,Bellerive Oval
Sat 26-Aug-2023,Brisbane Lions,St Kilda,72,60,Gabba
Sat 26-Aug-2023,Geelong,Western Bulldogs,79,104,Kardinia Park
Sat 26-Aug-2023,West Coast,Adelaide,78,123,Perth Stadium
Sun 27-Aug-2023,Port Adelaide,Richmond,94,63,Adelaide Oval
Sun 27-Aug-2023,Sydney,Melbourne,56,77,S.C.G.
Sun 27-Aug-2023,Carlton,Greater Western Sydney,73,105,Docklands
Thu 07-Sep-2023,Collingwood,Melbourne,60,53,M.C.G.
Fri 08-Sep-2023,Carlton,Sydney,74,68,M.C.G.
Sat 09-Sep-2023,St Kilda,Greater Western Sydney,77,101,M.C.G.
Sat 09-Sep-2023,Brisbane Lions,Port Adelaide,123,75,Gabba
Fri 15-Sep-2023,Melbourne,Carlton,71,73,M.C.G.
Sat 16-Sep-2023,Port Adelaide,Greater Western Sydney,70,93,Adelaide Oval
Fri 22-Sep-2023,Collingwood,Greater Western Sydney,58,57,M.C.G.
Sat 23-Sep-2023,Brisbane Lions,Carlton,79,63,Gabba
Sat 30-Sep-2023,Collingwood,Brisbane Lions,90,86,M.C.G.
