team,year,jumper_number,player_name,games,kicks,marks,handballs,disposals,disposal_avg,goals,behinds,hitouts,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assists
Adelaide,2016,44,"Crouch, Matt",22,250,75,359,609,27.68,5,3,0,100,37,56,106,77,23,23,7,251,355,1,3,20,7,4
Adelaide,2016,9,"Sloane, Rory",23,271,88,309,580,25.22,13,10,34,163,22,92,115,72,31,28,24,292,292,16,10,63,8,19
Adelaide,2016,5,"Thompson, Scott",22,256,72,271,527,23.95,4,3,3,158,15,81,127,82,31,31,5,239,283,3,3,14,0,9
Adelaide,2016,29,"Laird, Rory",19,251,127,270,521,27.42,1,1,0,40,63,40,20,44,21,9,11,158,363,6,0,24,1,4
Adelaide,2016,21,"Atkins, Rory",24,262,103,230,492,20.5,11,12,6,39,42,88,48,55,9,15,1,157,340,9,12,24,19,16
Adelaide,2016,33,"Smith, Brodie",23,305,100,170,475,20.65,7,12,0,52,87,103,26,69,14,17,2,123,339,10,5,37,22,13
Adelaide,2016,27,"Lynch, Tom",23,277,150,171,448,19.48,42,21,1,45,10,79,22,52,25,12,5,166,287,12,35,10,7,20
Adelaide,2016,31,"Lyons, Jarryd",20,242,66,191,433,21.65,15,13,2,94,16,77,83,43,14,11,0,208,230,4,12,17,1,18
Adelaide,2016,26,"Douglas, Richard",24,245,77,179,424,17.67,19,16,0,92,19,79,68,47,25,19,0,170,258,9,17,35,6,14
Adelaide,2016,6,"Lever, Jake",24,248,124,130,378,15.75,2,3,0,24,66,33,2,53,17,25,0,134,242,19,3,122,4,3
Adelaide,2016,14,"Mackay, David",19,197,49,179,376,19.79,2,12,0,82,32,66,43,38,10,9,0,127,253,2,3,23,17,7
Adelaide,2016,12,"Talia, Daniel",24,208,143,166,374,15.58,1,0,0,45,66,18,2,39,19,13,2,133,241,21,0,214,0,3
Adelaide,2016,2,"Crouch, Brad",16,155,26,213,368,23.0,4,1,0,102,19,44,75,54,15,20,4,174,190,1,0,13,3,7
Adelaide,2016,16,"Brown, Luke",22,232,90,133,365,16.59,5,2,0,63,69,37,7,35,13,8,0,106,256,5,3,34,3,8
Adelaide,2016,13,"Walker, Taylor",23,235,155,97,332,14.43,47,37,0,34,2,82,0,57,20,26,6,147,193,43,50,29,1,27
Adelaide,2016,25,"Cheney, Kyle",24,193,125,131,324,13.5,0,1,0,37,56,18,5,33,14,15,0,111,219,17,0,102,1,0
Adelaide,2016,18,"Betts, Eddie",24,231,79,89,320,13.33,75,31,0,85,8,47,31,49,29,17,10,164,147,20,53,19,10,24
Adelaide,2016,24,"Jacobs, Sam",22,177,70,138,315,14.32,8,5,703,51,16,53,46,41,24,16,2,135,180,20,6,59,0,9
Adelaide,2016,15,"Hartigan, Kyle",23,172,116,128,300,13.04,1,0,0,39,65,20,1,67,9,29,0,101,195,18,0,139,0,1
Adelaide,2016,4,"Jenkins, Josh",24,195,122,95,290,12.08,62,29,135,46,6,60,18,28,23,11,8,136,160,30,57,47,1,23
Adelaide,2016,23,"Cameron, Charlie",20,174,56,94,268,13.4,20,18,0,87,12,68,26,49,13,19,0,123,155,6,22,26,31,16
Adelaide,2016,11,"Seedsman, Paul",15,151,65,104,255,17.0,9,5,0,60,30,48,20,31,12,6,0,62,196,1,2,9,8,3
Adelaide,2016,41,"McGovern, Mitch",23,142,96,88,230,10.0,32,21,0,60,7,49,6,38,14,12,0,107,129,28,35,27,0,17
Adelaide,2016,45,"Henderson, Ricky",9,114,54,85,199,22.11,1,3,0,12,28,26,9,22,2,5,0,54,133,2,2,12,3,7
Adelaide,2016,30,"Milera, Wayne",8,49,25,40,89,11.13,5,6,0,17,3,16,5,12,10,4,0,34,57,3,3,7,3,8
Adelaide,2016,7,"van Berlo, Nathan",3,23,9,13,36,12.0,0,1,0,8,5,5,0,6,2,4,0,11,25,1,0,10,1,1
Adelaide,2016,28,"Ellis-Yolmen, Cam",2,14,7,17,31,15.5,4,3,1,9,0,1,5,2,0,1,0,12,18,1,6,1,0,1
Adelaide,2016,43,"OBrien, Reilly",2,9,4,19,28,14.0,1,2,47,6,0,2,7,6,1,3,0,13,15,2,2,3,0,0
Adelaide,2016,3,"Knight, Riley",1,2,2,8,10,10.0,0,0,0,1,0,1,0,0,1,0,0,6,4,0,0,0,0,0
Brisbane Lions,2016,38,"Rockliff, Tom",17,243,67,265,508,29.88,15,3,1,117,32,53,92,55,12,17,9,200,297,1,5,9,4,9
Brisbane Lions,2016,15,"Zorko, Dayne",20,300,83,171,471,23.55,23,16,1,128,47,100,68,56,34,23,5,177,286,3,9,22,9,19
Brisbane Lions,2016,11,"Hanley, Pearce",22,269,91,197,466,21.18,14,17,22,83,44,78,60,65,19,35,3,146,315,3,12,26,19,10
Brisbane Lions,2016,4,"Bastinac, Ryan",22,231,68,230,461,20.95,6,6,1,87,42,62,79,64,20,21,0,195,270,4,3,21,10,16
Brisbane Lions,2016,5,"Robinson, Mitch",21,220,59,241,461,21.95,3,4,18,128,45,61,106,84,33,43,3,224,243,6,3,31,0,7
Brisbane Lions,2016,10,"Rich, Daniel",21,256,67,156,412,19.62,17,8,0,93,58,93,64,57,19,21,0,159,242,6,8,30,0,4
Brisbane Lions,2016,32,"Mayes, Sam",21,239,88,132,371,17.67,1,1,2,45,81,29,16,45,15,14,0,78,257,2,0,58,5,2
Brisbane Lions,2016,12,"Martin, Stefan",20,149,81,186,335,16.75,5,7,558,42,26,50,71,63,34,26,0,173,162,12,8,47,0,8
Brisbane Lions,2016,28,"Taylor, Lewis",19,140,61,139,279,14.68,18,13,0,36,12,32,14,29,9,11,0,78,206,2,17,9,6,7
Brisbane Lions,2016,26,"Cutler, Tom",15,176,53,101,277,18.47,9,6,1,35,60,47,11,28,6,8,0,66,181,0,4,21,10,2
Brisbane Lions,2016,7,"Bell, Tom",14,139,50,95,234,16.71,15,8,4,38,11,44,19,45,7,17,0,90,148,5,15,12,4,5
Brisbane Lions,2016,35,"Lester, Ryan",19,111,63,113,224,11.79,11,9,0,50,12,30,13,28,10,12,0,93,131,8,14,41,1,12
Brisbane Lions,2016,27,"Gardiner, Darcy",18,107,45,108,215,11.94,0,1,0,43,35,12,6,50,15,26,0,95,114,2,1,92,0,0
Brisbane Lions,2016,8,"Bewick, Rohan",14,141,55,68,209,14.93,7,7,2,46,39,30,18,30,7,9,0,72,136,3,5,15,1,5
Brisbane Lions,2016,36,"Mathieson, Rhys",11,100,26,101,201,18.27,8,3,1,41,15,30,40,33,31,17,0,112,91,2,4,7,0,2
Brisbane Lions,2016,3,"Christensen, Allen",11,104,33,79,183,16.64,7,5,0,30,20,23,13,23,26,8,0,72,113,2,6,7,0,2
Brisbane Lions,2016,1,"Keays, Ben",16,60,22,122,182,11.38,4,8,0,63,9,14,19,19,10,7,0,98,93,4,7,12,0,11
Brisbane Lions,2016,2,"Harwood, Ryan",13,96,41,85,181,13.92,0,1,0,35,31,11,8,23,7,11,0,66,118,4,0,30,2,1
Brisbane Lions,2016,31,"Andrews, Harris",17,98,72,77,175,10.29,2,1,17,38,40,12,2,30,14,14,0,85,90,12,2,158,1,1
Brisbane Lions,2016,21,"Merrett, Daniel",19,96,57,76,172,9.05,1,0,0,32,39,9,2,55,21,38,0,92,87,15,1,161,0,1
Brisbane Lions,2016,14,"Walker, Josh",16,83,66,67,150,9.38,23,9,85,28,4,25,7,32,7,14,0,70,84,21,27,17,0,4
Brisbane Lions,2016,6,"Green, Josh",11,95,23,52,147,13.36,10,12,0,32,3,41,12,25,6,8,0,65,78,1,5,4,2,9
Brisbane Lions,2016,23,"Schache, Josh",17,91,68,56,147,8.65,16,18,0,26,1,27,1,17,7,3,0,66,82,21,24,22,1,7
Brisbane Lions,2016,25,"McStay, Daniel",12,66,46,72,138,11.5,4,0,2,24,19,14,3,19,10,5,0,47,92,5,3,69,0,2
Brisbane Lions,2016,16,"Jansen, Jarrad",7,33,15,68,101,14.43,4,1,0,27,7,8,21,17,7,5,0,61,42,2,3,9,0,1
Brisbane Lions,2016,17,"Beams, Claye",9,63,26,35,98,10.89,2,0,0,18,17,10,1,15,5,5,0,27,69,2,3,24,2,1
Brisbane Lions,2016,30,"Hipwood, Eric",10,60,30,35,95,9.5,11,16,2,11,0,18,0,13,14,0,0,50,45,7,16,13,1,5
Brisbane Lions,2016,18,"Robertson, Nick",6,46,25,35,81,13.5,2,0,0,17,9,10,3,11,2,5,0,21,60,1,2,10,0,2
Brisbane Lions,2016,40,"Hammelmann, Matthew",9,41,21,25,66,7.33,0,0,0,23,19,10,0,15,3,8,0,27,38,3,0,46,0,1
Brisbane Lions,2016,24,"Dawson, Liam",7,38,20,23,61,8.71,5,0,0,11,6,7,2,17,4,5,0,19,45,3,4,13,0,0
Brisbane Lions,2016,22,"Paparone, Marco",4,37,16,19,56,14.0,0,0,0,6,15,5,0,10,2,6,0,13,40,1,0,11,0,1
Brisbane Lions,2016,9,"Beams, Dayne",2,27,7,21,48,24.0,1,1,0,5,1,6,8,7,4,1,0,20,28,1,0,0,0,0
Brisbane Lions,2016,44,"Smith, Archie",3,10,3,30,40,13.33,1,1,70,10,3,2,13,5,8,3,0,30,12,2,1,8,0,0
Brisbane Lions,2016,39,"Paine, Jackson",4,18,10,18,36,9.0,0,1,0,8,6,0,0,15,1,6,0,15,24,2,1,21,1,0
Brisbane Lions,2016,13,"West, Trent",4,14,9,22,36,9.0,0,1,82,8,2,7,3,11,3,6,0,17,18,2,2,9,0,3
Brisbane Lions,2016,47,"William, Reuben",3,15,6,20,35,11.67,0,0,0,7,9,5,0,6,4,2,0,11,23,1,0,7,3,0
Brisbane Lions,2016,34,"Freeman, Jonathan",4,16,11,8,24,6.0,3,5,0,8,1,0,0,5,4,3,0,18,8,9,7,3,0,0
Brisbane Lions,2016,46,"Evans, Billy",2,6,4,14,20,10.0,0,0,0,8,1,1,2,3,2,1,0,9,11,0,0,1,0,0
Brisbane Lions,2016,33,"Close, Michael",2,10,7,6,16,8.0,6,0,0,7,0,0,0,1,1,1,0,11,6,5,5,4,0,0
Brisbane Lions,2016,19,"Clayton, Josh",2,8,5,4,12,6.0,0,1,0,4,0,2,0,1,1,0,0,4,8,2,1,3,1,1
Carlton,2016,6,"Simpson, Kade",22,383,152,214,597,27.14,3,0,0,54,101,52,14,57,18,20,3,125,450,6,2,53,38,15
Carlton,2016,4,"Gibbs, Bryce",22,320,77,270,590,26.82,18,12,50,114,34,99,104,64,22,20,13,210,375,0,16,21,7,16
Carlton,2016,9,"Cripps, Patrick",21,176,68,390,566,26.95,10,14,36,139,24,60,185,81,34,41,18,354,215,7,9,17,12,9
Carlton,2016,15,"Docherty, Sam",22,359,173,207,566,25.73,1,2,0,57,119,45,13,61,15,13,1,138,399,17,2,72,23,7
Carlton,2016,35,"Curnow, Ed",21,275,76,249,524,24.95,5,9,0,147,48,68,86,62,28,23,3,205,316,2,6,19,6,11
Carlton,2016,46,"Wright, Matthew",22,262,80,188,450,20.45,22,10,0,82,21,85,57,49,26,14,0,174,269,4,18,12,6,8
Carlton,2016,11,"Kerridge, Sam",21,210,99,238,448,21.33,6,14,6,70,31,66,48,61,11,21,2,147,301,6,10,20,8,9
Carlton,2016,42,"Tuohy, Zach",22,275,80,168,443,20.14,6,5,1,48,91,64,8,41,17,14,0,113,288,8,1,41,13,5
Carlton,2016,39,"Thomas, Dale",18,202,77,131,333,18.5,6,5,2,55,32,44,25,33,20,12,2,103,228,3,4,13,6,9
Carlton,2016,23,"Weitering, Jacob",20,164,106,127,291,14.55,2,0,0,24,50,21,3,29,3,9,0,96,186,24,3,71,4,1
Carlton,2016,43,"White, Simon",17,132,76,129,261,15.35,2,2,2,42,32,32,6,30,12,13,0,91,175,7,4,59,1,1
Carlton,2016,20,"Plowman, Lachie",19,121,77,112,233,12.26,0,0,0,35,33,11,3,29,9,10,0,59,175,4,0,95,4,1
Carlton,2016,8,"Kreuzer, Matthew",21,136,46,95,231,11.0,7,8,429,84,16,41,62,54,22,24,0,147,84,19,17,48,1,3
Carlton,2016,27,"Armfield, Dennis",15,123,51,102,225,15.0,16,10,0,34,8,37,10,28,11,7,0,73,153,1,15,11,3,10
Carlton,2016,32,"Graham, Nick",12,118,56,102,220,18.33,2,9,1,59,15,30,21,35,10,10,0,73,150,1,6,6,0,2
Carlton,2016,3,"Murphy, Marc",10,114,38,91,205,20.5,7,3,1,30,16,34,20,31,12,6,1,58,145,0,4,4,7,5
Carlton,2016,17,"Rowe, Sam",22,99,84,99,198,9.0,2,1,24,28,29,9,6,45,13,21,0,69,128,11,4,215,0,0
Carlton,2016,41,"Casboult, Levi",20,119,107,72,191,9.55,18,18,6,26,0,28,2,43,15,14,0,103,87,46,38,19,0,1
