team,year,jumper_number,player_name,games,kicks,marks,handballs,disposals,disposal_avg,goals,behinds,hitouts,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assists
Adelaide,2022,29,"Laird, Rory",20,284,53,375,659,32.95,7,8,0,162,40,93,151,96,35,29,10,300,361,0,4,14,2,8
Adelaide,2022,2,"Keays, Ben",22,315,73,271,586,26.64,10,12,0,106,37,95,122,99,28,30,11,251,327,1,4,19,3,13
Adelaide,2022,12,"Dawson, Jordan",22,408,146,133,541,24.59,10,6,0,65,150,81,15,75,11,16,8,123,355,17,6,76,9,9
Adelaide,2022,33,"Smith, Brodie",21,307,86,118,425,20.24,3,6,0,62,103,70,20,67,11,22,1,106,273,4,2,34,6,7
Adelaide,2022,39,"Doedee, Tom",20,171,81,152,323,16.15,0,0,0,34,63,20,7,40,21,13,0,117,177,12,0,132,2,0
Adelaide,2022,21,"Berry, Sam",18,156,33,161,317,17.61,3,2,0,171,34,57,83,80,27,34,2,177,155,2,3,36,1,7
Adelaide,2022,5,"Crouch, Matt",11,115,39,186,301,27.36,0,0,0,44,25,28,48,41,11,18,0,103,201,0,1,9,0,4
Adelaide,2022,43,"OBrien, Reilly",20,124,53,141,265,13.25,3,2,738,79,25,38,78,56,35,19,2,188,82,31,4,82,0,2
Adelaide,2022,26,"Schoenberg, Harry",16,117,23,146,263,16.44,4,4,0,74,17,48,59,65,13,18,0,119,151,0,2,15,1,7
Adelaide,2022,1,"Jones, Chayce",20,167,58,91,258,12.9,0,3,0,30,44,28,21,46,18,11,0,100,151,4,2,27,2,5
Adelaide,2022,13,"Walker, Taylor",18,168,94,87,255,14.17,47,23,35,36,0,49,15,65,27,28,14,139,130,26,40,23,0,13
Adelaide,2022,20,"Hinge, Mitch",17,162,67,90,252,14.82,3,2,0,46,44,45,18,45,10,16,0,84,157,1,0,38,1,3
Adelaide,2022,25,"McHenry, Ned",20,116,47,132,248,12.4,13,6,0,66,13,49,12,66,33,35,0,115,147,3,6,20,1,10
Adelaide,2022,14,"Soligo, Jake",16,129,33,105,234,14.63,6,5,0,55,20,30,28,44,13,14,0,106,129,3,3,20,2,6
Adelaide,2022,6,"Hately, Jackson",11,103,31,116,219,19.91,2,6,0,48,19,27,25,33,13,10,0,65,156,1,4,11,0,1
Adelaide,2022,4,"Murphy, Lachlan",17,129,38,83,212,12.47,9,12,0,49,8,52,33,32,15,10,0,97,119,4,9,14,2,12
Adelaide,2022,31,"Rowe, James",17,117,52,95,212,12.47,12,11,0,27,8,38,14,30,16,10,0,74,136,1,6,7,2,10
Adelaide,2022,41,"Butts, Jordon",19,99,63,82,181,9.53,0,0,0,15,39,8,1,24,12,12,0,71,108,8,0,114,0,0
Adelaide,2022,38,"Sholl, Lachlan",11,103,38,74,177,16.09,4,1,0,9,17,23,19,20,5,4,0,55,125,0,1,9,0,4
Adelaide,2022,32,"Fogarty, Darcy",17,113,75,54,167,9.82,33,14,2,31,0,41,6,41,11,20,2,85,91,24,32,39,0,8
Adelaide,2022,23,"McAdam, Shane",15,94,65,68,162,10.8,23,13,0,44,2,14,2,33,15,17,0,60,97,10,31,10,3,10
Adelaide,2022,30,"Milera, Wayne",12,81,32,72,153,12.75,5,6,0,24,6,23,7,19,6,8,0,57,97,2,5,13,2,9
Adelaide,2022,16,"Brown, Luke",11,86,38,60,146,13.27,0,0,0,21,28,6,7,15,17,5,0,54,87,0,0,17,3,0
Adelaide,2022,8,"Rachele, Josh",13,93,36,53,146,11.23,17,11,0,24,4,18,16,36,8,11,1,63,84,2,14,11,3,4
Adelaide,2022,37,"Parnell, Patrick",11,83,30,45,128,11.64,0,1,0,25,19,16,3,17,5,3,0,30,98,0,1,13,3,2
Adelaide,2022,28,"Murray, Nick",16,87,44,40,127,7.94,0,0,6,21,40,13,5,36,13,13,0,65,66,14,0,110,0,1
Adelaide,2022,17,"Hamill, Will",13,59,23,64,123,9.46,1,0,0,24,18,12,4,16,8,7,0,56,72,4,0,26,0,1
Adelaide,2022,7,"Thilthorpe, Riley",11,70,49,43,113,10.27,8,7,55,24,3,18,11,31,5,8,0,70,41,20,18,22,1,1
Adelaide,2022,34,"Himmelberg, Elliott",11,59,34,50,109,9.91,14,5,32,19,1,21,6,21,14,12,0,54,62,9,10,32,0,5
Adelaide,2022,22,"Frampton, Billy",6,82,39,26,108,18.0,1,0,0,0,38,6,1,16,8,4,0,23,71,4,0,34,0,1
Adelaide,2022,15,"Cook, Brayden",8,56,13,27,83,10.38,3,2,0,14,6,13,5,11,5,3,0,25,57,0,0,2,1,1
Adelaide,2022,9,"Sloane, Rory",4,36,12,36,72,18.0,0,1,0,17,7,7,20,16,6,4,0,44,34,1,1,12,0,0
