team,year,jumper_number,player_name,games,kicks,marks,handballs,disposals,disposal_avg,goals,behinds,hitouts,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assists
Adelaide,2018,29,"Laird, Rory",20,319,124,325,644,32.2,3,4,0,43,100,43,25,62,21,13,19,199,424,7,1,27,4,8
Adelaide,2018,5,"Crouch, Matt",18,249,69,331,580,32.22,2,3,0,70,31,65,96,67,19,14,8,229,351,2,4,12,5,11
Adelaide,2018,6,"Gibbs, Bryce",22,354,82,215,569,25.86,13,15,0,118,42,99,113,73,29,16,9,236,326,6,10,20,7,13
Adelaide,2018,21,"Atkins, Rory",20,264,98,140,404,20.2,13,8,0,46,51,68,23,47,8,16,3,122,276,1,8,20,16,9
Adelaide,2018,11,"Seedsman, Paul",19,233,77,157,390,20.53,13,13,0,49,42,80,35,41,10,10,2,134,260,7,6,24,14,14
Adelaide,2018,1,"Greenwood, Hugh",22,206,54,178,384,17.45,16,17,1,145,10,47,98,51,21,14,2,268,113,22,10,21,0,9
Adelaide,2018,30,"Milera, Wayne",19,231,89,137,368,19.37,2,2,0,49,53,47,17,39,16,10,2,112,259,7,2,42,4,9
Adelaide,2018,39,"Doedee, Tom",20,168,111,193,361,18.05,2,0,0,60,63,27,5,36,20,15,0,136,226,14,0,99,3,3
Adelaide,2018,27,"Lynch, Tom",17,201,97,131,332,19.53,16,8,0,28,11,44,16,36,12,9,0,125,209,11,13,11,2,14
Adelaide,2018,8,"Kelly, Jake",19,178,96,137,315,16.58,1,0,0,38,46,21,5,31,13,17,0,91,215,8,0,60,4,1
Adelaide,2018,26,"Douglas, Richard",17,198,59,115,313,18.41,14,12,0,55,20,55,52,56,20,27,3,136,180,1,5,30,8,10
Adelaide,2018,16,"Brown, Luke",20,214,83,88,302,15.1,1,2,0,43,70,26,3,25,15,8,0,104,178,6,0,41,4,4
Adelaide,2018,28,"Ellis-Yolmen, Cam",15,134,46,168,302,20.13,6,3,2,82,10,39,78,40,8,10,0,166,130,6,5,21,1,3
Adelaide,2018,4,"Jenkins, Josh",22,200,111,83,283,12.86,46,27,97,61,3,57,11,49,28,23,3,123,161,27,49,60,2,14
Adelaide,2018,14,"Mackay, David",17,180,57,103,283,16.65,2,6,0,46,42,40,16,35,13,14,0,65,214,1,3,34,17,4
Adelaide,2018,9,"Sloane, Rory",12,126,33,137,263,21.92,5,5,0,75,11,44,72,28,26,11,6,156,113,3,2,31,1,6
Adelaide,2018,24,"Jacobs, Sam",22,152,56,108,260,11.82,3,7,798,45,15,44,57,50,25,25,3,133,135,18,2,53,0,5
Adelaide,2018,12,"Talia, Daniel",18,139,92,119,258,14.33,0,0,0,37,36,24,1,32,9,17,0,106,149,18,0,152,0,1
Adelaide,2018,18,"Betts, Eddie",18,143,43,96,239,13.28,29,20,0,50,4,39,20,36,12,12,1,112,117,5,21,21,3,10
Adelaide,2018,7,"Gallucci, Jordan",16,146,42,40,186,11.63,15,11,0,39,9,48,21,27,11,10,0,63,127,3,8,12,7,8
Adelaide,2018,13,"Walker, Taylor",14,106,59,55,161,11.5,26,17,0,30,1,41,5,38,16,16,5,86,76,20,17,27,0,3
Adelaide,2018,41,"McGovern, Mitch",12,124,78,31,155,12.92,15,13,0,22,13,32,2,23,15,7,2,56,99,15,14,27,1,5
Adelaide,2018,15,"Hartigan, Kyle",13,96,69,53,149,11.46,0,0,2,14,31,8,0,22,11,8,0,40,107,6,0,51,0,0
Adelaide,2018,22,"Otten, Andy",8,74,55,53,127,15.88,0,0,4,12,21,4,0,14,5,6,0,41,86,6,1,35,0,0
Adelaide,2018,3,"Knight, Riley",8,60,24,60,120,15.0,7,4,0,32,9,17,18,17,10,5,0,48,71,2,3,11,0,3
Adelaide,2018,20,"Gibson, Sam",5,67,22,46,113,22.6,2,1,0,17,10,8,13,8,6,4,0,45,70,0,1,1,1,0
Adelaide,2018,25,"Cheney, Kyle",8,84,44,28,112,14.0,0,0,0,4,20,11,2,13,5,3,0,34,75,7,0,23,1,1
Adelaide,2018,44,"Murphy, Lachlan",11,60,20,36,96,8.73,12,8,0,41,3,18,5,20,11,8,0,52,51,2,4,6,6,2
Adelaide,2018,10,"Poholke, Myles",9,57,38,35,92,10.22,3,4,0,18,2,24,6,14,1,6,0,40,56,7,4,6,1,2
Adelaide,2018,42,"Keath, Alex",6,56,27,31,87,14.5,0,0,0,9,18,9,3,12,2,4,0,42,48,9,0,31,0,0
Adelaide,2018,32,"Fogarty, Darcy",10,57,32,27,84,8.4,9,3,0,20,3,20,1,24,7,15,0,43,51,6,11,17,1,7
Adelaide,2018,33,"Smith, Brodie",2,17,10,26,43,21.5,0,0,0,7,6,5,1,6,0,2,1,17,29,0,0,9,2,1
Adelaide,2018,17,"Hampton, Curtly",3,13,7,12,25,8.33,2,0,0,12,1,6,1,6,0,1,0,10,15,0,3,2,0,0
Adelaide,2018,34,"Himmelberg, Elliott",1,5,5,8,13,13.0,1,1,0,3,0,2,1,3,0,0,0,5,8,0,1,0,1,2
Adelaide,2018,31,"Wilson, Patrick",1,7,5,5,12,12.0,0,0,0,2,1,0,1,3,0,1,0,3,9,0,0,1,0,0
Brisbane Lions,2018,9,"Beams, Dayne",21,330,114,282,612,29.14,18,13,0,62,37,91,118,75,35,26,18,235,387,6,19,14,2,7
Brisbane Lions,2018,29,"Witherden, Alex",21,336,152,135,471,22.43,1,3,0,34,96,43,15,38,8,13,1,79,329,2,2,37,5,3
Brisbane Lions,2018,15,"Zorko, Dayne",22,302,54,155,457,20.77,26,18,0,159,29,110,99,92,43,37,6,215,242,2,8,21,8,14
Brisbane Lions,2018,6,"McCluggage, Hugh",22,240,96,186,426,19.36,10,9,0,68,43,58,43,50,21,14,1,148,280,5,11,15,10,16
Brisbane Lions,2018,12,"Martin, Stefan",22,194,89,218,412,18.73,1,2,745,56,30,56,108,68,54,29,5,216,203,11,3,46,1,11
Brisbane Lions,2018,3,"Christensen, Allen",22,233,84,170,403,18.32,16,14,0,54,30,42,29,44,22,11,0,130,272,3,7,19,0,10
Brisbane Lions,2018,5,"Robinson, Mitch",19,199,78,201,400,21.05,11,7,0,103,26,75,74,56,21,21,1,182,218,14,10,33,3,8
Brisbane Lions,2018,28,"Taylor, Lewis",22,215,98,175,390,17.73,21,7,0,43,18,46,13,36,19,8,0,115,283,0,12,14,7,14
Brisbane Lions,2018,13,"Berry, Jarrod",21,175,83,213,388,18.48,12,5,0,100,19,68,70,57,20,25,1,174,222,3,12,32,1,20
Brisbane Lions,2018,2,"Hodge, Luke",19,248,121,122,370,19.47,1,1,0,38,59,31,10,53,20,19,0,94,263,10,0,89,3,2
Brisbane Lions,2018,26,"Cutler, Tom",18,251,117,117,368,20.44,11,15,0,35,45,74,21,46,7,14,1,93,271,2,16,28,12,11
Brisbane Lions,2018,18,"Robertson, Nick",21,199,108,165,364,17.33,3,0,0,43,63,32,18,60,10,24,0,94,272,6,0,53,1,2
Brisbane Lions,2018,10,"Rich, Daniel",18,219,68,133,352,19.56,1,4,0,42,76,44,24,39,15,11,0,95,233,1,2,35,0,7
Brisbane Lions,2018,27,"Gardiner, Darcy",20,172,113,126,298,14.9,0,0,0,39,64,12,2,50,21,29,0,97,199,8,0,129,1,0
Brisbane Lions,2018,16,"Rayner, Cam",22,149,76,148,297,13.5,20,14,0,52,15,56,37,49,19,14,3,130,173,17,22,17,7,9
Brisbane Lions,2018,31,"Andrews, Harris",18,168,119,113,281,15.61,1,1,2,39,52,13,4,38,17,20,2,104,178,25,0,205,1,1
Brisbane Lions,2018,35,"Lester, Ryan",15,133,69,107,240,16.0,0,2,0,40,35,20,16,33,10,13,0,92,152,0,3,54,0,2
Brisbane Lions,2018,30,"Hipwood, Eric",22,176,93,57,233,10.59,37,27,8,24,0,63,3,71,25,21,6,89,141,18,43,34,1,13
Brisbane Lions,2018,36,"Mathieson, Rhys",13,87,39,124,211,16.23,4,2,0,39,11,23,48,28,19,9,0,103,113,1,2,10,0,6
Brisbane Lions,2018,14,"Walker, Josh",14,127,94,72,199,14.21,2,5,18,17,21,14,9,22,16,12,0,74,124,20,5,80,6,1
Brisbane Lions,2018,25,"McStay, Daniel",19,106,81,66,172,9.05,22,18,0,42,3,20,1,33,17,11,0,84,91,31,36,29,0,9
Brisbane Lions,2018,33,"Bailey, Zac",12,76,36,86,162,13.5,6,4,0,28,7,25,12,33,9,16,0,53,111,1,4,10,0,3
Brisbane Lions,2018,23,"Cameron, Charlie",11,104,47,37,141,12.82,17,4,0,27,9,33,14,24,11,12,0,60,87,6,15,13,3,10
Brisbane Lions,2018,46,"McInerney, Oscar",16,77,45,57,134,8.38,14,8,176,37,6,19,14,33,9,17,0,82,52,25,15,47,0,4
Brisbane Lions,2018,32,"Mayes, Sam",6,51,24,46,97,16.17,0,1,0,9,10,14,6,13,2,3,0,23,69,1,1,6,1,4
Brisbane Lions,2018,43,"Barrett, Jake",5,21,17,45,66,13.2,4,0,0,12,1,5,0,10,1,6,0,19,47,1,3,5,0,4
Brisbane Lions,2018,8,"Bewick, Rohan",3,37,14,18,55,18.33,1,3,0,6,4,11,5,6,2,2,0,20,35,0,1,5,1,2
