Date,Home Team,Away Team,Home Score,Away Score,Venue
Thu 21-Mar-2019,Carlton,Richmond,64,97,M.C.G.
Fri 22-Mar-2019,Collingwood,Geelong,65,72,M.C.G.
Sat 23-Mar-2019,Melbourne,Port Adelaide,61,87,M.C.G.
Sat 23-Mar-2019,Adelaide,Hawthorn,55,87,Adelaide Oval
Sat 23-Mar-2019,Western Bulldogs,Sydney,82,65,Docklands
Sat 23-Mar-2019,Brisbane Lions,West Coast,102,58,Gabba
Sun 24-Mar-2019,St Kilda,Gold Coast,85,84,Docklands
Sun 24-Mar-2019,Greater Western Sydney,Essendon,112,40,Sydney Showground
Sun 24-Mar-2019,Fremantle,North Melbourne,141,59,Perth Stadium
Thu 28-Mar-2019,Richmond,Collingwood,66,110,M.C.G.
Fri 29-Mar-2019,Sydney,Adelaide,62,88,S.C.G.
Sat 30-Mar-2019,Essendon,St Kilda,65,76,Docklands
Sat 30-Mar-2019,Port Adelaide,Carlton,88,72,Adelaide Oval
Sat 30-Mar-2019,Geelong,Melbourne,126,46,Kardinia Park
Sat 30-Mar-2019,West Coast,Greater Western Sydney,104,52,Perth Stadium
Sun 31-Mar-2019,North Melbourne,Brisbane Lions,87,107,Docklands
Sun 31-Mar-2019,Hawthorn,Western Bulldogs,87,106,M.C.G.
Sun 31-Mar-2019,Gold Coast,Fremantle,61,58,Carrara
Thu 04-Apr-2019,Adelaide,Geelong,75,99,Adelaide Oval
Fri 05-Apr-2019,Melbourne,Essendon,112,130,M.C.G.
Sat 06-Apr-2019,Carlton,Sydney,74,93,Docklands
Sat 06-Apr-2019,Greater Western Sydney,Richmond,125,76,Sydney Showground
Sat 06-Apr-2019,Brisbane Lions,Port Adelaide,107,90,Gabba
Sat 06-Apr-2019,Collingwood,West Coast,76,98,M.C.G.
Sun 07-Apr-2019,Western Bulldogs,Gold Coast,68,73,Docklands
Sun 07-Apr-2019,Hawthorn,North Melbourne,87,71,M.C.G.
Sun 07-Apr-2019,Fremantle,St Kilda,71,66,Perth Stadium
Thu 11-Apr-2019,Sydney,Melbourne,78,100,S.C.G.
Fri 12-Apr-2019,Collingwood,Western Bulldogs,78,64,M.C.G.
Sat 13-Apr-2019,Geelong,Greater Western Sydney,75,79,Kardinia Park
Sat 13-Apr-2019,Essendon,Brisbane Lions,112,65,M.C.G.
Sat 13-Apr-2019,Port Adelaide,Richmond,92,99,Adelaide Oval
Sat 13-Apr-2019,North Melbourne,Adelaide,71,59,Docklands
Sat 13-Apr-2019,West Coast,Fremantle,69,56,Perth Stadium
Sun 14-Apr-2019,Gold Coast,Carlton,59,57,Carrara
Sun 14-Apr-2019,St Kilda,Hawthorn,74,69,Docklands
Thu 18-Apr-2019,Brisbane Lions,Collingwood,61,123,Gabba
Fri 19-Apr-2019,North Melbourne,Essendon,58,116,Docklands
Fri 19-Apr-2019,West Coast,Port Adelaide,53,95,Perth Stadium
Sat 20-Apr-2019,Greater Western Sydney,Fremantle,82,106,Manuka Oval
Sat 20-Apr-2019,Melbourne,St Kilda,55,95,M.C.G.
Sat 20-Apr-2019,Richmond,Sydney,89,67,Docklands
Sun 21-Apr-2019,Western Bulldogs,Carlton,57,101,Docklands
Sun 21-Apr-2019,Adelaide,Gold Coast,119,46,Adelaide Oval
Mon 22-Apr-2019,Hawthorn,Geelong,90,113,M.C.G.
Wed 24-Apr-2019,Richmond,Melbourne,85,42,M.C.G.
Thu 25-Apr-2019,Essendon,Collingwood,69,73,M.C.G.
Fri 26-Apr-2019,Port Adelaide,North Melbourne,88,72,Adelaide Oval
Sat 27-Apr-2019,Gold Coast,Brisbane Lions,62,111,Carrara
Sat 27-Apr-2019,St Kilda,Adelaide,68,97,Docklands
Sat 27-Apr-2019,Sydney,Greater Western Sydney,79,120,S.C.G.
Sat 27-Apr-2019,Fremantle,Western Bulldogs,88,69,Perth Stadium
Sun 28-Apr-2019,Hawthorn,Carlton,93,88,York Park
Sun 28-Apr-2019,Geelong,West Coast,104,46,Kardinia Park
Fri 03-May-2019,Collingwood,Port Adelaide,108,69,Docklands
Sat 04-May-2019,Melbourne,Hawthorn,79,74,M.C.G.
Sat 04-May-2019,Greater Western Sydney,St Kilda,114,70,Manuka Oval
Sat 04-May-2019,Brisbane Lions,Sydney,103,81,Gabba
Sat 04-May-2019,Western Bulldogs,Richmond,99,52,Docklands
Sat 04-May-2019,West Coast,Gold Coast,80,57,Perth Stadium
Sun 05-May-2019,Carlton,North Melbourne,62,120,Docklands
Sun 05-May-2019,Geelong,Essendon,86,54,M.C.G.
Sun 05-May-2019,Adelaide,Fremantle,51,34,Adelaide Oval
Fri 10-May-2019,Sydney,Essendon,77,72,S.C.G.
Sat 11-May-2019,Carlton,Collingwood,87,106,M.C.G.
Sat 11-May-2019,Western Bulldogs,Brisbane Lions,92,76,Eureka Stadium
Sat 11-May-2019,Gold Coast,Melbourne,60,61,Carrara
Sat 11-May-2019,St Kilda,West Coast,70,88,Docklands
Sat 11-May-2019,Port Adelaide,Adelaide,68,88,Adelaide Oval
Sun 12-May-2019,North Melbourne,Geelong,80,104,Docklands
Sun 12-May-2019,Hawthorn,Greater Western Sydney,71,38,M.C.G.
Sun 12-May-2019,Fremantle,Richmond,86,111,Perth Stadium
Fri 17-May-2019,West Coast,Melbourne,85,69,Perth Stadium
Sat 18-May-2019,Collingwood,St Kilda,112,71,M.C.G.
Sat 18-May-2019,Brisbane Lions,Adelaide,93,92,Gabba
Sat 18-May-2019,Geelong,Western Bulldogs,133,89,Kardinia Park
Sat 18-May-2019,Essendon,Fremantle,60,53,Docklands
Sat 18-May-2019,North Melbourne,Sydney,72,77,Bellerive Oval
