Date,Home Team,Away Team,Home Score,Away Score,Venue
Thu 02-Apr-2015,Carlton,Richmond,78,105,M.C.G.
Sat 04-Apr-2015,Melbourne,Gold Coast,115,89,M.C.G.
Sat 04-Apr-2015,Sydney,Essendon,72,60,Stadium Australia
Sat 04-Apr-2015,Brisbane Lions,Collingwood,74,86,Gabba
Sat 04-Apr-2015,Western Bulldogs,West Coast,97,87,Docklands
Sun 05-Apr-2015,St Kilda,Greater Western Sydney,78,87,Docklands
Sun 05-Apr-2015,Adelaide,North Melbourne,140,63,Adelaide Oval
Sun 05-Apr-2015,Fremantle,Port Adelaide,75,68,Subiaco
Mon 06-Apr-2015,Hawthorn,Geelong,123,61,M.C.G.
Fri 10-Apr-2015,West Coast,Carlton,131,62,Subiaco
Sat 11-Apr-2015,Richmond,Western Bulldogs,66,85,M.C.G.
Sat 11-Apr-2015,Greater Western Sydney,Melbourne,101,56,Manuka Oval
Sat 11-Apr-2015,Collingwood,Adelaide,63,90,Docklands
Sat 11-Apr-2015,Gold Coast,St Kilda,76,104,Carrara
Sat 11-Apr-2015,Port Adelaide,Sydney,44,92,Adelaide Oval
Sun 12-Apr-2015,Geelong,Fremantle,60,104,Kardinia Park
Sun 12-Apr-2015,Essendon,Hawthorn,78,76,M.C.G.
Sun 12-Apr-2015,North Melbourne,Brisbane Lions,133,51,Docklands
Fri 17-Apr-2015,Collingwood,St Kilda,140,66,M.C.G.
Sat 18-Apr-2015,Carlton,Essendon,84,105,M.C.G.
Sat 18-Apr-2015,Adelaide,Melbourne,80,55,Adelaide Oval
Sat 18-Apr-2015,Sydney,Greater Western Sydney,111,90,S.C.G.
Sat 18-Apr-2015,North Melbourne,Port Adelaide,105,113,Docklands
Sat 18-Apr-2015,Brisbane Lions,Richmond,58,137,Gabba
Sun 19-Apr-2015,Hawthorn,Western Bulldogs,127,57,York Park
Sun 19-Apr-2015,Geelong,Gold Coast,105,96,Kardinia Park
Sun 19-Apr-2015,West Coast,Fremantle,81,111,Subiaco
Fri 24-Apr-2015,Richmond,Melbourne,51,83,M.C.G.
Sat 25-Apr-2015,St Kilda,Carlton,81,121,Wellington
Sat 25-Apr-2015,Essendon,Collingwood,49,69,M.C.G.
Sat 25-Apr-2015,Greater Western Sydney,Gold Coast,119,53,Manuka Oval
Sat 25-Apr-2015,Port Adelaide,Hawthorn,99,91,Adelaide Oval
Sat 25-Apr-2015,Fremantle,Sydney,74,60,Subiaco
Sun 26-Apr-2015,Brisbane Lions,West Coast,65,118,Gabba
Sun 26-Apr-2015,Geelong,North Melbourne,67,83,Kardinia Park
Sun 26-Apr-2015,Western Bulldogs,Adelaide,125,68,Docklands
Fri 01-May-2015,Carlton,Collingwood,45,120,M.C.G.
Sat 02-May-2015,Richmond,Geelong,76,85,M.C.G.
Sat 02-May-2015,Sydney,Western Bulldogs,73,77,S.C.G.
Sat 02-May-2015,Gold Coast,Brisbane Lions,118,54,Carrara
Sat 02-May-2015,North Melbourne,Hawthorn,70,130,Docklands
Sat 02-May-2015,West Coast,Greater Western Sydney,120,33,Subiaco
Sun 03-May-2015,Melbourne,Fremantle,50,118,M.C.G.
Sun 03-May-2015,St Kilda,Essendon,80,82,Docklands
Sun 03-May-2015,Adelaide,Port Adelaide,91,115,Adelaide Oval
Fri 08-May-2015,Collingwood,Geelong,59,100,M.C.G.
Sat 09-May-2015,North Melbourne,Richmond,109,74,Bellerive Oval
Sat 09-May-2015,Western Bulldogs,St Kilda,87,94,Docklands
Sat 09-May-2015,Greater Western Sydney,Hawthorn,108,98,Sydney Showground
Sat 09-May-2015,Gold Coast,Adelaide,78,119,Carrara
Sat 09-May-2015,Melbourne,Sydney,50,88,M.C.G.
Sat 09-May-2015,Fremantle,Essendon,80,52,Subiaco
Sun 10-May-2015,Carlton,Brisbane Lions,75,84,Docklands
Sun 10-May-2015,Port Adelaide,West Coast,68,78,Adelaide Oval
Fri 15-May-2015,Essendon,North Melbourne,82,93,Docklands
Sat 16-May-2015,Adelaide,St Kilda,119,73,Adelaide Oval
Sat 16-May-2015,Hawthorn,Melbourne,155,50,M.C.G.
Sat 16-May-2015,Carlton,Greater Western Sydney,57,135,Docklands
Sat 16-May-2015,Sydney,Geelong,120,77,Stadium Australia
