team,year,jumper_number,player_name,games,kicks,marks,handballs,disposals,disposal_avg,goals,behinds,hitouts,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assists
Adelaide,2024,29,"Laird, Rory",23,271,83,364,635,27.61,2,5,0,132,47,70,114,75,28,26,7,253,385,3,2,25,2,10
Adelaide,2024,12,"Dawson, Jordan",22,365,110,174,539,24.5,10,6,0,134,41,129,69,98,22,27,18,168,347,23,3,27,7,15
Adelaide,2024,14,"Soligo, Jake",23,251,60,255,506,22.0,6,9,0,84,39,75,90,83,34,30,7,226,296,2,6,16,8,6
Adelaide,2024,20,"Hinge, Mitch",22,317,107,168,485,22.05,2,3,0,55,112,44,28,57,16,13,0,144,272,4,1,55,2,6
Adelaide,2024,5,"Crouch, Matt",15,155,62,294,449,29.93,0,2,0,79,23,42,89,53,23,17,4,188,253,3,0,6,2,6
Adelaide,2024,38,"Sholl, Lachlan",20,293,105,139,432,21.6,12,6,0,45,57,38,27,56,9,11,0,113,312,1,6,15,1,3
Adelaide,2024,2,"Keays, Ben",23,225,88,148,373,16.22,34,20,0,83,16,76,47,53,23,17,4,159,191,3,26,17,0,19
Adelaide,2024,48,"Keane, Mark",21,270,113,83,353,16.81,0,1,0,22,95,13,4,74,20,34,0,108,176,15,3,120,4,1
Adelaide,2024,16,"Michalanney, Max",23,212,122,130,342,14.87,0,1,0,67,70,35,14,48,16,16,0,90,249,11,0,51,5,3
Adelaide,2024,27,"Nankervis, Luke",20,191,100,149,340,17.0,1,1,0,36,36,34,11,43,13,15,0,101,230,7,2,49,4,5
Adelaide,2024,8,"Rachele, Josh",22,202,79,109,311,14.14,30,17,0,51,12,66,23,66,12,19,0,113,197,7,19,22,3,18
Adelaide,2024,23,"Rankine, Izak",15,170,48,100,270,18.0,29,9,0,51,11,58,55,54,13,19,5,145,139,2,17,23,21,15
Adelaide,2024,33,"Smith, Brodie",15,167,53,97,264,17.6,0,2,0,31,53,35,7,37,11,10,0,71,168,2,0,29,0,1
Adelaide,2024,32,"Fogarty, Darcy",23,165,111,85,250,10.87,41,16,0,35,1,49,4,48,17,23,2,113,140,32,39,35,4,15
Adelaide,2024,3,"Berry, Sam",18,123,26,125,248,13.78,4,2,0,91,18,44,65,46,27,18,3,136,127,2,0,4,4,5
Adelaide,2024,43,"OBrien, Reilly",21,132,49,110,242,11.52,2,3,898,77,16,32,67,81,17,30,2,125,99,13,4,112,0,7
Adelaide,2024,24,"Worrell, Josh",13,155,67,78,233,17.92,0,0,0,19,78,11,2,25,16,7,0,72,130,7,0,76,1,1
