Date,Home Team,Away Team,Home Score,Away Score,Venue
Thu 19-Mar-2020,Richmond,Carlton,105,81,M.C.G.
Fri 20-Mar-2020,Western Bulldogs,Collingwood,34,86,Docklands
Sat 21-Mar-2020,Essendon,Fremantle,63,57,Docklands
Sat 21-Mar-2020,Adelaide,Sydney,71,74,Adelaide Oval
Sat 21-Mar-2020,Gold Coast,Port Adelaide,29,76,Carrara
Sat 21-Mar-2020,Greater Western Sydney,Geelong,105,73,Sydney Showground
Sun 22-Mar-2020,North Melbourne,St Kilda,56,54,Docklands
Sun 22-Mar-2020,Hawthorn,Brisbane Lions,90,62,M.C.G.
Sun 22-Mar-2020,West Coast,Melbourne,78,51,Perth Stadium
Thu 11-Jun-2020,Collingwood,Richmond,36,36,M.C.G.
Fri 12-Jun-2020,Geelong,Hawthorn,108,47,Kardinia Park
Sat 13-Jun-2020,Brisbane Lions,Fremantle,81,69,Gabba
Sat 13-Jun-2020,Carlton,Melbourne,53,54,Docklands
Sat 13-Jun-2020,Port Adelaide,Adelaide,110,35,Adelaide Oval
Sat 13-Jun-2020,Gold Coast,West Coast,90,46,Carrara
Sun 14-Jun-2020,Greater Western Sydney,North Melbourne,60,80,Sydney Showground
Sun 14-Jun-2020,Sydney,Essendon,73,79,S.C.G.
Sun 14-Jun-2020,St Kilda,Western Bulldogs,88,49,Docklands
Thu 18-Jun-2020,Richmond,Hawthorn,39,71,M.C.G.
Fri 19-Jun-2020,Western Bulldogs,Greater Western Sydney,57,33,Docklands
Sat 20-Jun-2020,North Melbourne,Sydney,60,71,Docklands
Sat 20-Jun-2020,Collingwood,St Kilda,81,37,M.C.G.
Sat 20-Jun-2020,Geelong,Carlton,77,79,Kardinia Park
Sat 20-Jun-2020,Brisbane Lions,West Coast,74,44,Gabba
Sun 21-Jun-2020,Gold Coast,Adelaide,82,29,Carrara
Sun 21-Jun-2020,Fremantle,Port Adelaide,41,70,Carrara
Thu 25-Jun-2020,Sydney,Western Bulldogs,39,67,S.C.G.
Fri 26-Jun-2020,Greater Western Sydney,Collingwood,66,64,Sydney Showground
Sat 27-Jun-2020,Port Adelaide,West Coast,89,41,Carrara
Sat 27-Jun-2020,St Kilda,Richmond,93,67,Docklands
Sat 27-Jun-2020,Essendon,Carlton,51,52,M.C.G.
