team,year,total_disposals,total_goals,total_behinds,total_tackles,total_clearances,total_inside_50s,total_marks,total_contested_marks,total_hitouts,avg_disposal_per_player,avg_goals_per_player,avg_tackles_per_player,players_20plus_goals,players_30plus_goals,players_40plus_goals,players_300plus_disposals,players_400plus_disposals,players_500plus_disposals,players_100plus_tackles,total_players_used,players_with_10plus_games,players_with_15plus_games,players_with_20plus_games,total_brownlow_votes,players_with_brownlow_votes,top_brownlow_vote_getter,goal_accuracy,total_contested_poss,total_uncontested_poss,contested_poss_ratio,total_clangers,free_kick_differential
Adelaide,2018,8425,279,214,1422,823,1162,2014,253,904,240.71428571428572,7.9714285714285715,40.628571428571426,3,1,1,13,4,3,2,35,25,19,8,69,15,19,56.5922920892495,3378,5014,40.09495548961424,1084,48
Brisbane Lions,2018,8216,266,192,1278,825,1123,2184,220,949,241.64705882352942,7.823529411764706,37.588235294117645,5,1,0,13,7,1,3,34,24,20,12,45,11,18,58.07860262008734,2993,5184,36.42891918208374,1197,27
Carlton,2018,7635,192,152,1396,766,994,1910,218,772,206.35135135135135,5.1891891891891895,37.729729729729726,3,1,0,7,4,3,2,37,29,14,8,37,7,20,55.81395348837209,2984,4599,39.08316961362148,1256,7
Collingwood,2018,10377,345,226,1776,989,1423,2393,312,1211,266.0769230769231,8.846153846153847,45.53846153846154,6,4,2,16,9,7,3,39,26,20,16,96,12,24,60.42031523642733,3970,6462,38.257685265490984,1476,111
Essendon,2018,8396,280,207,1467,810,1173,2122,256,821,215.28205128205127,7.17948717948718,37.61538461538461,4,1,0,12,6,2,2,39,23,18,12,65,13,13,57.49486652977412,3154,5265,37.565507384468795,1217,-26
Fremantle,2018,7989,224,170,1325,770,1057,2016,214,913,215.9189189189189,6.054054054054054,35.810810810810814,2,0,0,8,4,1,0,37,25,17,8,56,10,16,56.852791878172596,2990,5089,37.42646138440355,1249,-42
Geelong,2018,8759,304,222,1538,859,1223,2059,272,825,218.975,7.6,38.45,5,1,1,11,8,7,3,40,23,17,12,88,10,17,57.79467680608364,3445,5378,39.33097385546295,1278,4
Gold Coast,2018,7478,181,189,1526,824,1033,1703,179,999,191.74358974358975,4.641025641025641,39.12820512820513,3,0,0,8,5,0,3,39,23,16,9,31,12,5,48.91891891891892,3167,4267,42.350895961487026,1400,-45
Greater Western Sydney,2018,9069,287,243,1612,944,1292,2125,273,861,238.6578947368421,7.552631578947368,42.421052631578945,4,1,1,12,9,4,2,38,23,19,13,76,10,16,54.15094339622642,3593,5475,39.61848053809681,1352,-55
Hawthorn,2018,9035,309,211,1654,875,1299,2231,220,984,250.97222222222223,8.583333333333334,45.94444444444444,5,3,2,15,6,4,3,36,24,20,15,90,10,28,59.42307692307692,3421,5636,37.863862755949086,1316,3
Melbourne,2018,9656,369,269,1731,956,1497,2159,328,1263,260.97297297297297,9.972972972972974,46.78378378378378,5,3,2,15,8,5,3,37,25,20,16,93,15,21,57.83699059561128,4000,5734,41.42502071251036,1451,-8
North Melbourne,2018,8093,285,202,1376,764,1147,1820,256,915,261.06451612903226,9.193548387096774,44.38709677419355,4,3,1,14,6,2,2,31,24,18,15,68,13,15,58.52156057494866,3269,4854,40.392932163598175,1232,85
Port Adelaide,2018,8262,259,195,1540,870,1174,1988,236,895,243.0,7.617647058823529,45.294117647058826,5,1,0,14,7,2,3,34,22,20,12,62,15,14,57.048458149779734,3286,4982,39.772452190752844,1266,-27
Richmond,2018,8803,332,229,1495,813,1417,1950,267,671,258.9117647058824,9.764705882352942,43.970588235294116,4,3,2,17,6,1,2,34,25,22,16,78,14,19,59.180035650623886,3555,5246,40.383960013631715,1432,-122
St Kilda,2018,8552,225,217,1319,731,1138,2067,190,648,208.58536585365854,5.487804878048781,32.170731707317074,2,2,0,11,5,2,1,41,27,16,9,35,9,18,50.90497737556561,2981,5687,34.85734331150608,1202,-54
Sydney,2018,8549,272,191,1489,848,1150,2048,269,736,237.47222222222223,7.555555555555555,41.361111111111114,5,1,1,12,7,3,3,36,24,20,12,71,13,16,58.747300215982726,3382,5115,39.56018247748275,1285,-34
West Coast,2018,8902,336,223,1524,914,1336,2527,347,1124,269.75757575757575,10.181818181818182,46.18181818181818,6,4,2,15,8,4,2,33,27,22,16,81,11,16,60.10733452593918,3596,5323,40.39541676027859,1262,82
Western Bulldogs,2018,8527,224,190,1384,802,1144,1972,208,612,224.39473684210526,5.894736842105263,36.421052631578945,3,0,0,10,7,3,3,38,27,16,6,47,10,14,54.106280193236714,3068,5411,35.97982877917204,1155,48
